"ID","TSECS","SPECIES","LONGITUDE","LATITUDE","observed_behaviour","decState","Col_obState","Col_decState"
24,42820,"C",-5.44244,56.52218,"Travelling","Foraging","blue","orange"
24,42821,"C",-5.44243,56.52218,"Travelling","Foraging","blue","orange"
24,42822,"C",-5.44243,56.52218,"Travelling","Foraging","blue","orange"
24,42823,"C",-5.44242,56.52218,"Travelling","Foraging","blue","orange"
24,42824,"C",-5.44242,56.52218,"Travelling","Foraging","blue","orange"
24,42825,"C",-5.44241,56.52218,"Travelling","Foraging","blue","orange"
24,42826,"C",-5.44241,56.52218,"Travelling","Foraging","blue","orange"
24,42827,"C",-5.4424,56.52218,"Travelling","Foraging","blue","orange"
24,42828,"C",-5.44239,56.52218,"Travelling","Foraging","blue","orange"
24,42829,"C",-5.44238,56.52218,"Travelling","Foraging","blue","orange"
24,42830,"C",-5.44237,56.52218,"Travelling","Foraging","blue","orange"
24,42831,"C",-5.44236,56.52218,"Travelling","Foraging","blue","orange"
24,42832,"C",-5.44234,56.52217,"Travelling","Foraging","blue","orange"
24,42833,"C",-5.44233,56.52217,"Travelling","Foraging","blue","orange"
24,42834,"C",-5.44232,56.52215,"Travelling","Foraging","blue","orange"
24,42835,"C",-5.4423,56.52213,"Travelling","Foraging","blue","orange"
24,42836,"C",-5.44228,56.52212,"Travelling","Foraging","blue","orange"
24,42837,"C",-5.44229,56.52209,"Travelling","Foraging","blue","orange"
24,42838,"C",-5.44229,56.52206,"Travelling","Foraging","blue","orange"
24,42839,"C",-5.4423,56.52203,"Travelling","Foraging","blue","orange"
24,42840,"C",-5.44234,56.52201,"Travelling","Foraging","blue","orange"
24,42841,"C",-5.44238,56.52198,"Travelling","Foraging","blue","orange"
24,42842,"C",-5.44242,56.52195,"Travelling","Foraging","blue","orange"
24,42843,"C",-5.44248,56.52193,"Travelling","Foraging","blue","orange"
24,42844,"C",-5.44254,56.52191,"Travelling","Foraging","blue","orange"
24,42845,"C",-5.4426,56.52188,"Travelling","Foraging","blue","orange"
24,42846,"C",-5.44268,56.52187,"Travelling","Foraging","blue","orange"
24,42847,"C",-5.44277,56.52185,"Travelling","Foraging","blue","orange"
24,42848,"C",-5.44285,56.52183,"Travelling","Foraging","blue","orange"
24,42849,"C",-5.44294,56.52181,"Travelling","Foraging","blue","orange"
24,42850,"C",-5.44304,56.52178,"Travelling","Foraging","blue","orange"
24,42851,"C",-5.44313,56.52175,"Travelling","Foraging","blue","orange"
24,42852,"C",-5.44324,56.52173,"Travelling","Foraging","blue","orange"
24,42853,"C",-5.44336,56.52171,"Travelling","Foraging","blue","orange"
24,42854,"C",-5.44347,56.52168,"Travelling","Foraging","blue","orange"
24,42855,"C",-5.4436,56.52167,"Travelling","Travelling","blue","blue"
24,42856,"C",-5.44373,56.52165,"Travelling","Travelling","blue","blue"
24,42857,"C",-5.44387,56.52163,"Travelling","Travelling","blue","blue"
24,42858,"C",-5.44401,56.52162,"Travelling","Travelling","blue","blue"
24,42859,"C",-5.44416,56.52161,"Travelling","Travelling","blue","blue"
24,42860,"C",-5.4443,56.5216,"Travelling","Travelling","blue","blue"
24,42861,"C",-5.44445,56.52158,"Travelling","Travelling","blue","blue"
24,42862,"C",-5.4446,56.52157,"Travelling","Travelling","blue","blue"
24,42863,"C",-5.44475,56.52155,"Travelling","Travelling","blue","blue"
24,42864,"C",-5.44491,56.52154,"Travelling","Travelling","blue","blue"
24,42865,"C",-5.44506,56.52153,"Travelling","Travelling","blue","blue"
24,42866,"C",-5.44522,56.52152,"Travelling","Travelling","blue","blue"
24,42867,"C",-5.44537,56.52149,"Travelling","Travelling","blue","blue"
24,42868,"C",-5.44552,56.52146,"Travelling","Travelling","blue","blue"
24,42869,"C",-5.44567,56.52143,"Travelling","Travelling","blue","blue"
24,42870,"C",-5.44581,56.5214,"Travelling","Travelling","blue","blue"
24,42871,"C",-5.44596,56.52137,"Travelling","Travelling","blue","blue"
24,42872,"C",-5.4461,56.52133,"Travelling","Travelling","blue","blue"
24,42873,"C",-5.44624,56.52128,"Travelling","Travelling","blue","blue"
24,42874,"C",-5.44638,56.52123,"Travelling","Travelling","blue","blue"
24,42875,"C",-5.44652,56.52118,"Travelling","Travelling","blue","blue"
24,42876,"C",-5.44666,56.52114,"Travelling","Travelling","blue","blue"
24,42877,"C",-5.44679,56.52109,"Travelling","Travelling","blue","blue"
