"COLONY","ID","SPECIES","STAGE","TSECS","observedState","decodedState"
"Cockle Island, Groomsport",12,"Arctic","Incubation",56968,"Not-foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",56969,"Not-foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",56970,"Not-foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",56971,"Not-foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",56972,"Not-foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",56973,"Not-foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",56974,"Not-foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",56975,"Not-foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",56976,"Not-foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",56977,"Not-foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",56978,"Not-foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",56979,"Not-foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",56980,"Not-foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",56981,"Not-foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",56982,"Not-foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",56983,"Not-foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",56984,"Not-foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",56985,"Not-foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",56986,"Not-foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",56987,"Not-foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",56988,"Not-foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",56989,"Not-foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",56990,"Not-foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",56991,"Not-foraging","Foraging"
