"COLONY","ID","SPECIES","STAGE","TSECS","observedState","decodedState"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37201,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37202,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37203,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37204,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37205,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37206,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37207,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37208,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37209,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37210,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37211,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37212,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37213,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37214,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37215,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37216,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37217,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37218,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37219,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37220,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37221,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37222,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37223,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37224,"Not-foraging","Foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37225,"Not-foraging","Foraging"
