"ID","SPECIES","TSECS","observedState","decodedState"
1,"Arctic tern",55440,"Not-foraging","Foraging"
1,"Arctic tern",55441,"Not-foraging","Foraging"
1,"Arctic tern",55442,"Not-foraging","Foraging"
1,"Arctic tern",55443,"Not-foraging","Foraging"
1,"Arctic tern",55444,"Not-foraging","Foraging"
1,"Arctic tern",55445,"Not-foraging","Foraging"
1,"Arctic tern",55446,"Not-foraging","Foraging"
1,"Arctic tern",55447,"Not-foraging","Foraging"
1,"Arctic tern",55448,"Not-foraging","Foraging"
1,"Arctic tern",55449,"Not-foraging","Foraging"
1,"Arctic tern",55450,"Not-foraging","Foraging"
1,"Arctic tern",55451,"Not-foraging","Foraging"
1,"Arctic tern",55452,"Not-foraging","Foraging"
1,"Arctic tern",55453,"Not-foraging","Foraging"
1,"Arctic tern",55454,"Not-foraging","Foraging"
1,"Arctic tern",55455,"Not-foraging","Foraging"
1,"Arctic tern",55456,"Not-foraging","Foraging"
1,"Arctic tern",55457,"Not-foraging","Foraging"
1,"Arctic tern",55458,"Not-foraging","Foraging"
1,"Arctic tern",55459,"Not-foraging","Foraging"
1,"Arctic tern",55460,"Not-foraging","Foraging"
1,"Arctic tern",55461,"Not-foraging","Foraging"
1,"Arctic tern",55462,"Not-foraging","Foraging"
1,"Arctic tern",55463,"Not-foraging","Foraging"
1,"Arctic tern",55464,"Not-foraging","Foraging"
1,"Arctic tern",55465,"Not-foraging","Foraging"
1,"Arctic tern",55466,"Not-foraging","Foraging"
1,"Arctic tern",55467,"Not-foraging","Not-foraging"
1,"Arctic tern",55468,"Not-foraging","Not-foraging"
1,"Arctic tern",55469,"Not-foraging","Not-foraging"
1,"Arctic tern",55470,"Not-foraging","Not-foraging"
1,"Arctic tern",55471,"Not-foraging","Not-foraging"
1,"Arctic tern",55472,"Not-foraging","Not-foraging"
1,"Arctic tern",55473,"Not-foraging","Not-foraging"
1,"Arctic tern",55474,"Not-foraging","Not-foraging"
1,"Arctic tern",55475,"Not-foraging","Not-foraging"
1,"Arctic tern",55476,"Not-foraging","Not-foraging"
1,"Arctic tern",55477,"Not-foraging","Not-foraging"
1,"Arctic tern",55478,"Not-foraging","Not-foraging"
1,"Arctic tern",55479,"Not-foraging","Not-foraging"
1,"Arctic tern",55480,"Not-foraging","Not-foraging"
1,"Arctic tern",55481,"Not-foraging","Not-foraging"
1,"Arctic tern",55482,"Not-foraging","Not-foraging"
1,"Arctic tern",55483,"Not-foraging","Not-foraging"
1,"Arctic tern",55484,"Not-foraging","Not-foraging"
1,"Arctic tern",55485,"Not-foraging","Not-foraging"
1,"Arctic tern",55486,"Not-foraging","Not-foraging"
1,"Arctic tern",55487,"Not-foraging","Not-foraging"
1,"Arctic tern",55488,"Not-foraging","Not-foraging"
1,"Arctic tern",55489,"Not-foraging","Not-foraging"
1,"Arctic tern",55490,"Not-foraging","Not-foraging"
1,"Arctic tern",55491,"Not-foraging","Foraging"
1,"Arctic tern",55492,"Not-foraging","Not-foraging"
1,"Arctic tern",55493,"Not-foraging","Not-foraging"
1,"Arctic tern",55494,"Not-foraging","Not-foraging"
1,"Arctic tern",55495,"Not-foraging","Not-foraging"
1,"Arctic tern",55496,"Not-foraging","Foraging"
1,"Arctic tern",55497,"Not-foraging","Foraging"
1,"Arctic tern",55498,"Not-foraging","Foraging"
1,"Arctic tern",55499,"Not-foraging","Foraging"
1,"Arctic tern",55500,"Not-foraging","Foraging"
1,"Arctic tern",55501,"Not-foraging","Foraging"
1,"Arctic tern",55502,"Not-foraging","Not-foraging"
1,"Arctic tern",55503,"Not-foraging","Not-foraging"
1,"Arctic tern",55504,"Not-foraging","Not-foraging"
1,"Arctic tern",55505,"Not-foraging","Not-foraging"
1,"Arctic tern",55506,"Not-foraging","Not-foraging"
1,"Arctic tern",55507,"Not-foraging","Not-foraging"
1,"Arctic tern",55508,"Not-foraging","Not-foraging"
1,"Arctic tern",55509,"Not-foraging","Not-foraging"
1,"Arctic tern",55510,"Not-foraging","Not-foraging"
1,"Arctic tern",55511,"Not-foraging","Not-foraging"
1,"Arctic tern",55512,"Not-foraging","Not-foraging"
1,"Arctic tern",55513,"Not-foraging","Not-foraging"
1,"Arctic tern",55514,"Not-foraging","Not-foraging"
1,"Arctic tern",55515,"Not-foraging","Not-foraging"
1,"Arctic tern",55516,"Not-foraging","Not-foraging"
1,"Arctic tern",55517,"Not-foraging","Not-foraging"
1,"Arctic tern",55518,"Not-foraging","Not-foraging"
1,"Arctic tern",55519,"Not-foraging","Not-foraging"
1,"Arctic tern",55520,"Not-foraging","Not-foraging"
1,"Arctic tern",55521,"Not-foraging","Not-foraging"
1,"Arctic tern",55522,"Not-foraging","Not-foraging"
1,"Arctic tern",55523,"Not-foraging","Not-foraging"
1,"Arctic tern",55524,"Not-foraging","Not-foraging"
1,"Arctic tern",55525,"Not-foraging","Not-foraging"
1,"Arctic tern",55526,"Not-foraging","Not-foraging"
1,"Arctic tern",55527,"Not-foraging","Not-foraging"
1,"Arctic tern",55528,"Not-foraging","Not-foraging"
1,"Arctic tern",55529,"Not-foraging","Not-foraging"
1,"Arctic tern",55530,"Not-foraging","Not-foraging"
1,"Arctic tern",55531,"Not-foraging","Not-foraging"
1,"Arctic tern",55532,"Not-foraging","Not-foraging"
1,"Arctic tern",55533,"Not-foraging","Not-foraging"
1,"Arctic tern",55534,"Not-foraging","Not-foraging"
1,"Arctic tern",55535,"Not-foraging","Not-foraging"
1,"Arctic tern",55536,"Not-foraging","Not-foraging"
1,"Arctic tern",55537,"Not-foraging","Not-foraging"
1,"Arctic tern",55538,"Not-foraging","Not-foraging"
1,"Arctic tern",55539,"Not-foraging","Not-foraging"
1,"Arctic tern",55540,"Not-foraging","Not-foraging"
1,"Arctic tern",55541,"Not-foraging","Not-foraging"
1,"Arctic tern",55542,"Not-foraging","Not-foraging"
1,"Arctic tern",55543,"Not-foraging","Not-foraging"
1,"Arctic tern",55544,"Not-foraging","Not-foraging"
1,"Arctic tern",55545,"Not-foraging","Not-foraging"
1,"Arctic tern",55546,"Not-foraging","Not-foraging"
1,"Arctic tern",55547,"Not-foraging","Not-foraging"
1,"Arctic tern",55548,"Not-foraging","Not-foraging"
1,"Arctic tern",55549,"Not-foraging","Not-foraging"
1,"Arctic tern",55550,"Not-foraging","Not-foraging"
1,"Arctic tern",55551,"Not-foraging","Not-foraging"
1,"Arctic tern",55552,"Not-foraging","Not-foraging"
1,"Arctic tern",55553,"Not-foraging","Not-foraging"
1,"Arctic tern",55554,"Not-foraging","Not-foraging"
1,"Arctic tern",55555,"Not-foraging","Not-foraging"
1,"Arctic tern",55556,"Not-foraging","Not-foraging"
1,"Arctic tern",55557,"Not-foraging","Not-foraging"
1,"Arctic tern",55558,"Not-foraging","Not-foraging"
1,"Arctic tern",55559,"Not-foraging","Not-foraging"
1,"Arctic tern",55560,"Not-foraging","Not-foraging"
1,"Arctic tern",55561,"Not-foraging","Not-foraging"
1,"Arctic tern",55562,"Not-foraging","Not-foraging"
1,"Arctic tern",55563,"Not-foraging","Not-foraging"
1,"Arctic tern",55564,"Not-foraging","Not-foraging"
1,"Arctic tern",55565,"Not-foraging","Not-foraging"
1,"Arctic tern",55566,"Not-foraging","Not-foraging"
1,"Arctic tern",55567,"Not-foraging","Not-foraging"
1,"Arctic tern",55568,"Not-foraging","Not-foraging"
1,"Arctic tern",55569,"Not-foraging","Not-foraging"
1,"Arctic tern",55570,"Not-foraging","Not-foraging"
1,"Arctic tern",55571,"Not-foraging","Not-foraging"
1,"Arctic tern",55572,"Not-foraging","Not-foraging"
1,"Arctic tern",55573,"Not-foraging","Not-foraging"
1,"Arctic tern",55574,"Not-foraging","Not-foraging"
1,"Arctic tern",55575,"Not-foraging","Not-foraging"
1,"Arctic tern",55576,"Not-foraging","Not-foraging"
1,"Arctic tern",55577,"Not-foraging","Not-foraging"
1,"Arctic tern",55578,"Not-foraging","Not-foraging"
