"ID","SPECIES","TSECS","observedState","decodedState"
3,"Arctic Tern",34457,"Not-foraging","Foraging"
3,"Arctic Tern",34458,"Not-foraging","Foraging"
3,"Arctic Tern",34459,"Not-foraging","Foraging"
3,"Arctic Tern",34460,"Not-foraging","Foraging"
3,"Arctic Tern",34461,"Not-foraging","Foraging"
3,"Arctic Tern",34462,"Not-foraging","Foraging"
3,"Arctic Tern",34463,"Not-foraging","Foraging"
3,"Arctic Tern",34464,"Not-foraging","Foraging"
3,"Arctic Tern",34465,"Not-foraging","Foraging"
3,"Arctic Tern",34466,"Not-foraging","Foraging"
3,"Arctic Tern",34467,"Not-foraging","Not-foraging"
3,"Arctic Tern",34468,"Not-foraging","Not-foraging"
3,"Arctic Tern",34469,"Not-foraging","Not-foraging"
3,"Arctic Tern",34470,"Not-foraging","Not-foraging"
3,"Arctic Tern",34471,"Not-foraging","Not-foraging"
3,"Arctic Tern",34472,"Not-foraging","Not-foraging"
3,"Arctic Tern",34473,"Not-foraging","Not-foraging"
3,"Arctic Tern",34474,"Not-foraging","Not-foraging"
3,"Arctic Tern",34475,"Not-foraging","Not-foraging"
3,"Arctic Tern",34476,"Not-foraging","Not-foraging"
3,"Arctic Tern",34477,"Not-foraging","Not-foraging"
3,"Arctic Tern",34478,"Not-foraging","Not-foraging"
3,"Arctic Tern",34479,"Not-foraging","Not-foraging"
3,"Arctic Tern",34480,"Not-foraging","Not-foraging"
3,"Arctic Tern",34481,"Not-foraging","Not-foraging"
3,"Arctic Tern",34482,"Not-foraging","Not-foraging"
3,"Arctic Tern",34483,"Not-foraging","Not-foraging"
3,"Arctic Tern",34484,"Not-foraging","Not-foraging"
3,"Arctic Tern",34485,"Not-foraging","Not-foraging"
3,"Arctic Tern",34486,"Not-foraging","Not-foraging"
3,"Arctic Tern",34487,"Not-foraging","Not-foraging"
3,"Arctic Tern",34488,"Not-foraging","Not-foraging"
3,"Arctic Tern",34489,"Not-foraging","Not-foraging"
3,"Arctic Tern",34490,"Not-foraging","Not-foraging"
3,"Arctic Tern",34491,"Not-foraging","Not-foraging"
3,"Arctic Tern",34492,"Not-foraging","Not-foraging"
3,"Arctic Tern",34493,"Not-foraging","Not-foraging"
3,"Arctic Tern",34494,"Not-foraging","Not-foraging"
3,"Arctic Tern",34495,"Not-foraging","Not-foraging"
3,"Arctic Tern",34496,"Not-foraging","Not-foraging"
3,"Arctic Tern",34497,"Not-foraging","Not-foraging"
3,"Arctic Tern",34498,"Not-foraging","Not-foraging"
3,"Arctic Tern",34499,"Not-foraging","Not-foraging"
3,"Arctic Tern",34500,"Not-foraging","Not-foraging"
3,"Arctic Tern",34501,"Not-foraging","Not-foraging"
3,"Arctic Tern",34502,"Not-foraging","Not-foraging"
3,"Arctic Tern",34503,"Not-foraging","Not-foraging"
3,"Arctic Tern",34504,"Not-foraging","Not-foraging"
3,"Arctic Tern",34505,"Not-foraging","Not-foraging"
3,"Arctic Tern",34506,"Not-foraging","Not-foraging"
3,"Arctic Tern",34507,"Not-foraging","Not-foraging"
3,"Arctic Tern",34508,"Not-foraging","Not-foraging"
3,"Arctic Tern",34509,"Not-foraging","Not-foraging"
3,"Arctic Tern",34510,"Not-foraging","Not-foraging"
3,"Arctic Tern",34511,"Not-foraging","Not-foraging"
3,"Arctic Tern",34512,"Not-foraging","Not-foraging"
3,"Arctic Tern",34513,"Not-foraging","Not-foraging"
3,"Arctic Tern",34514,"Not-foraging","Not-foraging"
3,"Arctic Tern",34515,"Not-foraging","Not-foraging"
3,"Arctic Tern",34516,"Not-foraging","Not-foraging"
3,"Arctic Tern",34517,"Not-foraging","Not-foraging"
3,"Arctic Tern",34518,"Not-foraging","Not-foraging"
3,"Arctic Tern",34519,"Not-foraging","Not-foraging"
3,"Arctic Tern",34520,"Not-foraging","Not-foraging"
3,"Arctic Tern",34521,"Not-foraging","Not-foraging"
3,"Arctic Tern",34522,"Not-foraging","Not-foraging"
3,"Arctic Tern",34523,"Not-foraging","Not-foraging"
3,"Arctic Tern",34524,"Not-foraging","Not-foraging"
3,"Arctic Tern",34525,"Not-foraging","Not-foraging"
3,"Arctic Tern",34526,"Not-foraging","Not-foraging"
3,"Arctic Tern",34527,"Not-foraging","Not-foraging"
3,"Arctic Tern",34528,"Not-foraging","Not-foraging"
3,"Arctic Tern",34529,"Not-foraging","Not-foraging"
3,"Arctic Tern",34530,"Not-foraging","Not-foraging"
3,"Arctic Tern",34531,"Not-foraging","Not-foraging"
3,"Arctic Tern",34532,"Not-foraging","Not-foraging"
3,"Arctic Tern",34533,"Not-foraging","Not-foraging"
3,"Arctic Tern",34534,"Not-foraging","Not-foraging"
3,"Arctic Tern",34535,"Not-foraging","Not-foraging"
3,"Arctic Tern",34536,"Not-foraging","Not-foraging"
3,"Arctic Tern",34537,"Not-foraging","Not-foraging"
3,"Arctic Tern",34538,"Not-foraging","Not-foraging"
3,"Arctic Tern",34539,"Not-foraging","Not-foraging"
3,"Arctic Tern",34540,"Not-foraging","Not-foraging"
3,"Arctic Tern",34541,"Not-foraging","Not-foraging"
3,"Arctic Tern",34542,"Not-foraging","Not-foraging"
3,"Arctic Tern",34543,"Not-foraging","Not-foraging"
3,"Arctic Tern",34544,"Not-foraging","Not-foraging"
3,"Arctic Tern",34545,"Not-foraging","Not-foraging"
3,"Arctic Tern",34546,"Not-foraging","Not-foraging"
3,"Arctic Tern",34547,"Not-foraging","Not-foraging"
3,"Arctic Tern",34548,"Not-foraging","Not-foraging"
3,"Arctic Tern",34549,"Not-foraging","Not-foraging"
3,"Arctic Tern",34550,"Not-foraging","Not-foraging"
3,"Arctic Tern",34551,"Not-foraging","Not-foraging"
3,"Arctic Tern",34552,"Not-foraging","Not-foraging"
3,"Arctic Tern",34553,"Not-foraging","Not-foraging"
3,"Arctic Tern",34554,"Not-foraging","Not-foraging"
3,"Arctic Tern",34555,"Not-foraging","Not-foraging"
3,"Arctic Tern",34556,"Not-foraging","Not-foraging"
3,"Arctic Tern",34557,"Not-foraging","Not-foraging"
3,"Arctic Tern",34558,"Not-foraging","Not-foraging"
3,"Arctic Tern",34559,"Not-foraging","Not-foraging"
3,"Arctic Tern",34560,"Not-foraging","Not-foraging"
3,"Arctic Tern",34561,"Not-foraging","Not-foraging"
3,"Arctic Tern",34562,"Not-foraging","Not-foraging"
3,"Arctic Tern",34563,"Not-foraging","Not-foraging"
3,"Arctic Tern",34564,"Not-foraging","Not-foraging"
3,"Arctic Tern",34565,"Foraging","Not-foraging"
3,"Arctic Tern",34566,"Foraging","Foraging"
3,"Arctic Tern",34567,"Foraging","Foraging"
3,"Arctic Tern",34568,"Foraging","Foraging"
3,"Arctic Tern",34569,"Foraging","Foraging"
3,"Arctic Tern",34570,"Foraging","Foraging"
3,"Arctic Tern",34571,"Foraging","Foraging"
3,"Arctic Tern",34572,"Foraging","Foraging"
3,"Arctic Tern",34573,"Foraging","Foraging"
3,"Arctic Tern",34574,"Foraging","Foraging"
3,"Arctic Tern",34575,"Foraging","Foraging"
3,"Arctic Tern",34576,"Foraging","Foraging"
3,"Arctic Tern",34577,"Not-foraging","Foraging"
3,"Arctic Tern",34578,"Not-foraging","Foraging"
3,"Arctic Tern",34579,"Not-foraging","Foraging"
3,"Arctic Tern",34580,"Not-foraging","Foraging"
3,"Arctic Tern",34581,"Not-foraging","Not-foraging"
3,"Arctic Tern",34582,"Not-foraging","Not-foraging"
3,"Arctic Tern",34583,"Not-foraging","Not-foraging"
3,"Arctic Tern",34584,"Not-foraging","Not-foraging"
3,"Arctic Tern",34585,"Not-foraging","Not-foraging"
3,"Arctic Tern",34586,"Not-foraging","Not-foraging"
3,"Arctic Tern",34587,"Not-foraging","Not-foraging"
3,"Arctic Tern",34588,"Not-foraging","Not-foraging"
3,"Arctic Tern",34589,"Not-foraging","Not-foraging"
3,"Arctic Tern",34590,"Not-foraging","Not-foraging"
3,"Arctic Tern",34591,"Not-foraging","Foraging"
3,"Arctic Tern",34592,"Not-foraging","Not-foraging"
3,"Arctic Tern",34593,"Not-foraging","Not-foraging"
3,"Arctic Tern",34594,"Not-foraging","Not-foraging"
3,"Arctic Tern",34595,"Not-foraging","Not-foraging"
3,"Arctic Tern",34596,"Not-foraging","Not-foraging"
3,"Arctic Tern",34597,"Not-foraging","Not-foraging"
3,"Arctic Tern",34598,"Not-foraging","Not-foraging"
3,"Arctic Tern",34599,"Not-foraging","Not-foraging"
3,"Arctic Tern",34600,"Not-foraging","Not-foraging"
3,"Arctic Tern",34601,"Not-foraging","Not-foraging"
3,"Arctic Tern",34602,"Not-foraging","Not-foraging"
3,"Arctic Tern",34603,"Not-foraging","Not-foraging"
3,"Arctic Tern",34604,"Not-foraging","Not-foraging"
3,"Arctic Tern",34605,"Not-foraging","Not-foraging"
3,"Arctic Tern",34606,"Not-foraging","Not-foraging"
3,"Arctic Tern",34607,"Not-foraging","Not-foraging"
3,"Arctic Tern",34608,"Not-foraging","Not-foraging"
3,"Arctic Tern",34609,"Not-foraging","Not-foraging"
3,"Arctic Tern",34610,"Not-foraging","Not-foraging"
3,"Arctic Tern",34611,"Not-foraging","Not-foraging"
3,"Arctic Tern",34612,"Not-foraging","Not-foraging"
3,"Arctic Tern",34613,"Not-foraging","Not-foraging"
3,"Arctic Tern",34614,"Not-foraging","Not-foraging"
3,"Arctic Tern",34615,"Not-foraging","Not-foraging"
3,"Arctic Tern",34616,"Not-foraging","Not-foraging"
3,"Arctic Tern",34617,"Not-foraging","Not-foraging"
3,"Arctic Tern",34618,"Not-foraging","Not-foraging"
3,"Arctic Tern",34619,"Not-foraging","Not-foraging"
3,"Arctic Tern",34620,"Not-foraging","Not-foraging"
3,"Arctic Tern",34621,"Not-foraging","Not-foraging"
3,"Arctic Tern",34622,"Not-foraging","Not-foraging"
