"ID","SPECIES","TSECS","observedState","decodedState"
12,"Common tern",27339,"Not-foraging","Foraging"
12,"Common tern",27340,"Not-foraging","Foraging"
12,"Common tern",27341,"Not-foraging","Foraging"
12,"Common tern",27342,"Not-foraging","Foraging"
12,"Common tern",27343,"Not-foraging","Foraging"
12,"Common tern",27344,"Not-foraging","Foraging"
12,"Common tern",27345,"Not-foraging","Foraging"
12,"Common tern",27346,"Not-foraging","Foraging"
12,"Common tern",27347,"Not-foraging","Not-foraging"
12,"Common tern",27348,"Not-foraging","Not-foraging"
12,"Common tern",27349,"Not-foraging","Not-foraging"
12,"Common tern",27350,"Not-foraging","Not-foraging"
12,"Common tern",27351,"Not-foraging","Not-foraging"
12,"Common tern",27352,"Not-foraging","Not-foraging"
12,"Common tern",27353,"Not-foraging","Not-foraging"
12,"Common tern",27354,"Not-foraging","Not-foraging"
12,"Common tern",27355,"Not-foraging","Not-foraging"
12,"Common tern",27356,"Not-foraging","Not-foraging"
12,"Common tern",27357,"Not-foraging","Not-foraging"
12,"Common tern",27358,"Not-foraging","Not-foraging"
12,"Common tern",27359,"Not-foraging","Not-foraging"
12,"Common tern",27360,"Not-foraging","Not-foraging"
12,"Common tern",27361,"Not-foraging","Not-foraging"
12,"Common tern",27362,"Not-foraging","Not-foraging"
12,"Common tern",27363,"Not-foraging","Not-foraging"
12,"Common tern",27364,"Not-foraging","Not-foraging"
12,"Common tern",27365,"Not-foraging","Not-foraging"
12,"Common tern",27366,"Not-foraging","Not-foraging"
12,"Common tern",27367,"Not-foraging","Not-foraging"
12,"Common tern",27368,"Not-foraging","Not-foraging"
12,"Common tern",27369,"Not-foraging","Not-foraging"
12,"Common tern",27370,"Not-foraging","Not-foraging"
12,"Common tern",27371,"Not-foraging","Not-foraging"
12,"Common tern",27372,"Not-foraging","Not-foraging"
12,"Common tern",27373,"Not-foraging","Not-foraging"
12,"Common tern",27374,"Not-foraging","Not-foraging"
12,"Common tern",27375,"Not-foraging","Not-foraging"
12,"Common tern",27376,"Not-foraging","Not-foraging"
12,"Common tern",27377,"Not-foraging","Not-foraging"
12,"Common tern",27378,"Not-foraging","Not-foraging"
12,"Common tern",27379,"Not-foraging","Not-foraging"
12,"Common tern",27380,"Not-foraging","Not-foraging"
12,"Common tern",27381,"Not-foraging","Not-foraging"
