"ID","SPECIES","TSECS","observedState","decodedState"
1,"Arctic",30288,"Not-foraging","Foraging"
1,"Arctic",30289,"Not-foraging","Foraging"
1,"Arctic",30290,"Not-foraging","Foraging"
1,"Arctic",30291,"Not-foraging","Foraging"
1,"Arctic",30292,"Not-foraging","Foraging"
1,"Arctic",30293,"Not-foraging","Not-foraging"
1,"Arctic",30294,"Not-foraging","Not-foraging"
1,"Arctic",30295,"Not-foraging","Not-foraging"
1,"Arctic",30296,"Not-foraging","Not-foraging"
1,"Arctic",30297,"Not-foraging","Not-foraging"
1,"Arctic",30298,"Not-foraging","Not-foraging"
1,"Arctic",30299,"Not-foraging","Not-foraging"
1,"Arctic",30300,"Not-foraging","Not-foraging"
1,"Arctic",30301,"Not-foraging","Not-foraging"
1,"Arctic",30302,"Not-foraging","Not-foraging"
1,"Arctic",30303,"Not-foraging","Not-foraging"
1,"Arctic",30304,"Not-foraging","Not-foraging"
1,"Arctic",30305,"Not-foraging","Not-foraging"
1,"Arctic",30306,"Not-foraging","Not-foraging"
1,"Arctic",30307,"Not-foraging","Not-foraging"
1,"Arctic",30308,"Not-foraging","Not-foraging"
1,"Arctic",30309,"Not-foraging","Not-foraging"
1,"Arctic",30310,"Not-foraging","Not-foraging"
1,"Arctic",30311,"Not-foraging","Not-foraging"
1,"Arctic",30312,"Not-foraging","Not-foraging"
1,"Arctic",30313,"Not-foraging","Not-foraging"
1,"Arctic",30314,"Not-foraging","Not-foraging"
1,"Arctic",30315,"Not-foraging","Not-foraging"
1,"Arctic",30316,"Not-foraging","Not-foraging"
1,"Arctic",30317,"Not-foraging","Not-foraging"
1,"Arctic",30318,"Not-foraging","Not-foraging"
1,"Arctic",30319,"Not-foraging","Not-foraging"
1,"Arctic",30320,"Not-foraging","Not-foraging"
1,"Arctic",30321,"Not-foraging","Not-foraging"
1,"Arctic",30322,"Not-foraging","Not-foraging"
1,"Arctic",30323,"Not-foraging","Not-foraging"
1,"Arctic",30324,"Not-foraging","Not-foraging"
1,"Arctic",30325,"Not-foraging","Not-foraging"
1,"Arctic",30326,"Not-foraging","Not-foraging"
1,"Arctic",30327,"Not-foraging","Not-foraging"
1,"Arctic",30328,"Not-foraging","Not-foraging"
1,"Arctic",30329,"Not-foraging","Not-foraging"
1,"Arctic",30330,"Not-foraging","Not-foraging"
1,"Arctic",30331,"Not-foraging","Not-foraging"
1,"Arctic",30332,"Not-foraging","Not-foraging"
1,"Arctic",30333,"Not-foraging","Not-foraging"
1,"Arctic",30334,"Not-foraging","Not-foraging"
1,"Arctic",30335,"Not-foraging","Not-foraging"
1,"Arctic",30336,"Not-foraging","Not-foraging"
1,"Arctic",30337,"Not-foraging","Not-foraging"
1,"Arctic",30338,"Not-foraging","Not-foraging"
1,"Arctic",30339,"Not-foraging","Not-foraging"
1,"Arctic",30340,"Not-foraging","Not-foraging"
1,"Arctic",30341,"Not-foraging","Not-foraging"
1,"Arctic",30342,"Not-foraging","Not-foraging"
1,"Arctic",30343,"Not-foraging","Not-foraging"
1,"Arctic",30344,"Not-foraging","Foraging"
1,"Arctic",30345,"Foraging","Foraging"
1,"Arctic",30346,"Foraging","Foraging"
1,"Arctic",30347,"Foraging","Foraging"
1,"Arctic",30348,"Foraging","Foraging"
1,"Arctic",30349,"Foraging","Foraging"
1,"Arctic",30350,"Foraging","Foraging"
1,"Arctic",30351,"Foraging","Foraging"
1,"Arctic",30352,"Foraging","Foraging"
1,"Arctic",30353,"Foraging","Foraging"
1,"Arctic",30354,"Foraging","Foraging"
1,"Arctic",30355,"Foraging","Foraging"
1,"Arctic",30356,"Foraging","Foraging"
1,"Arctic",30357,"Foraging","Foraging"
1,"Arctic",30358,"Foraging","Foraging"
1,"Arctic",30359,"Foraging","Foraging"
1,"Arctic",30360,"Foraging","Not-foraging"
1,"Arctic",30361,"Foraging","Not-foraging"
1,"Arctic",30362,"Foraging","Not-foraging"
1,"Arctic",30363,"Foraging","Not-foraging"
1,"Arctic",30364,"Foraging","Not-foraging"
1,"Arctic",30365,"Foraging","Not-foraging"
1,"Arctic",30366,"Foraging","Not-foraging"
1,"Arctic",30367,"Foraging","Not-foraging"
1,"Arctic",30368,"Foraging","Not-foraging"
1,"Arctic",30369,"Foraging","Foraging"
1,"Arctic",30370,"Foraging","Foraging"
1,"Arctic",30371,"Foraging","Foraging"
1,"Arctic",30372,"Foraging","Foraging"
1,"Arctic",30373,"Not-foraging","Not-foraging"
1,"Arctic",30392,"Not-foraging","Not-foraging"
1,"Arctic",30393,"Not-foraging","Not-foraging"
1,"Arctic",30394,"Not-foraging","Not-foraging"
1,"Arctic",30395,"Not-foraging","Not-foraging"
1,"Arctic",30396,"Not-foraging","Not-foraging"
1,"Arctic",30397,"Not-foraging","Not-foraging"
1,"Arctic",30398,"Not-foraging","Not-foraging"
1,"Arctic",30399,"Not-foraging","Not-foraging"
1,"Arctic",30400,"Not-foraging","Not-foraging"
1,"Arctic",30401,"Not-foraging","Not-foraging"
1,"Arctic",30402,"Not-foraging","Not-foraging"
1,"Arctic",30403,"Not-foraging","Not-foraging"
1,"Arctic",30404,"Not-foraging","Not-foraging"
1,"Arctic",30405,"Not-foraging","Not-foraging"
1,"Arctic",30406,"Not-foraging","Not-foraging"
1,"Arctic",30407,"Not-foraging","Not-foraging"
1,"Arctic",30408,"Not-foraging","Not-foraging"
1,"Arctic",30409,"Not-foraging","Not-foraging"
1,"Arctic",30410,"Not-foraging","Not-foraging"
1,"Arctic",30411,"Not-foraging","Not-foraging"
1,"Arctic",30412,"Not-foraging","Not-foraging"
1,"Arctic",30413,"Not-foraging","Not-foraging"
1,"Arctic",30414,"Not-foraging","Not-foraging"
1,"Arctic",30415,"Not-foraging","Not-foraging"
1,"Arctic",30416,"Not-foraging","Not-foraging"
1,"Arctic",30417,"Not-foraging","Not-foraging"
1,"Arctic",30418,"Not-foraging","Not-foraging"
1,"Arctic",30419,"Not-foraging","Not-foraging"
1,"Arctic",30420,"Not-foraging","Not-foraging"
1,"Arctic",30421,"Not-foraging","Not-foraging"
1,"Arctic",30422,"Not-foraging","Not-foraging"
1,"Arctic",30423,"Not-foraging","Not-foraging"
1,"Arctic",30424,"Not-foraging","Not-foraging"
1,"Arctic",30425,"Not-foraging","Not-foraging"
1,"Arctic",30426,"Not-foraging","Not-foraging"
1,"Arctic",30427,"Not-foraging","Not-foraging"
1,"Arctic",30428,"Not-foraging","Not-foraging"
1,"Arctic",30429,"Not-foraging","Not-foraging"
1,"Arctic",30430,"Not-foraging","Not-foraging"
1,"Arctic",30431,"Not-foraging","Not-foraging"
1,"Arctic",30432,"Not-foraging","Not-foraging"
1,"Arctic",30433,"Not-foraging","Not-foraging"
1,"Arctic",30434,"Not-foraging","Not-foraging"
1,"Arctic",30435,"Not-foraging","Not-foraging"
1,"Arctic",30436,"Not-foraging","Not-foraging"
1,"Arctic",30437,"Not-foraging","Not-foraging"
