"COLONY","ID","SPECIES","TSECS","observedState","decodedState"
"SOUTH SHIAN",24,"C",42820,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42821,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42822,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42823,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42824,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42825,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42826,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42827,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42828,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42829,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42830,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42831,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42832,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42833,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42834,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42835,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42836,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42837,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42838,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42839,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42840,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42841,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42842,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42843,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42844,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42845,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42846,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42847,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42848,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42849,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42850,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42851,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42852,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42853,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42854,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42855,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42856,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42857,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42858,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42859,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42860,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42861,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42862,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42863,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42864,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42865,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42866,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42867,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42868,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42869,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42870,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42871,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42872,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42873,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42874,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42875,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42876,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42877,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42878,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42879,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42880,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42881,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42882,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42883,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42884,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42885,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42886,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42887,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42888,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42889,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42890,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42891,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42892,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42893,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42894,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42895,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42896,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42897,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42898,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42899,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42900,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42901,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42902,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42903,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42904,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42905,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42906,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42907,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42908,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42909,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42910,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42911,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42912,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42913,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42914,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42915,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42916,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42917,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42918,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42919,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42920,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42921,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42922,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42923,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42924,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42925,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42926,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42927,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42928,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42929,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42930,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42931,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42932,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42933,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42934,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42935,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42936,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42937,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42938,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42939,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42940,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42941,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42942,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42943,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42944,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42945,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42946,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42947,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42948,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42949,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42950,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42951,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42952,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42953,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42954,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42955,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42956,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42957,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42958,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42959,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42960,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42961,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42962,"Not-foraging","Foraging"
"SOUTH SHIAN",24,"C",42963,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42964,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42965,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42966,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42967,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42968,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42969,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42970,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42971,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42972,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42973,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42974,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42975,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42976,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42977,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42978,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42979,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42980,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42981,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42982,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42983,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42984,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42985,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42986,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42987,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42988,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42989,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42990,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42991,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42992,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42993,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42994,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42995,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42996,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42997,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42998,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",42999,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43000,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43001,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43002,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43003,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43004,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43005,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43006,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43007,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43008,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43009,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43010,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43011,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43012,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43013,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43014,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43015,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43016,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43017,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43018,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43019,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43020,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43021,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43022,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43023,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43024,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43025,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43026,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43027,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43028,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43029,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43030,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43031,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43032,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43033,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43034,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43035,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43036,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43037,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43038,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43039,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43040,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43041,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43042,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43043,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43044,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43045,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43046,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43047,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43048,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43049,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43050,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43051,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43052,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43053,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43054,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43055,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43056,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43057,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43058,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43059,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43060,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43061,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43062,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43063,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43064,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43065,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43066,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43067,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43068,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43069,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43070,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43071,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43072,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43073,"Not-foraging","Not-foraging"
