"COLONY","ID","SPECIES","STAGE","TSECS","observedState","decodedState"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36618,"Not-foraging","Foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36619,"Not-foraging","Foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36620,"Not-foraging","Foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36621,"Not-foraging","Foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36622,"Not-foraging","Foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36623,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36624,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36625,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36626,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36627,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36628,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36629,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36630,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36631,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36632,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36633,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36634,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36635,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36636,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36637,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36638,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36639,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36640,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36641,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36642,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36643,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36644,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36645,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36646,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36647,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36648,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36649,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36650,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36651,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36652,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36653,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36654,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36655,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36656,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36657,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36658,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36659,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36660,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36661,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36662,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36663,"Not-foraging","Not-foraging"
