"ID","TSECS_BST","observedState","decodedState"
1,47699,"Not-foraging","Foraging"
1,47700,"Not-foraging","Foraging"
1,47701,"Not-foraging","Foraging"
1,47702,"Not-foraging","Foraging"
1,47703,"Not-foraging","Foraging"
1,47704,"Not-foraging","Foraging"
1,47705,"Not-foraging","Foraging"
1,47706,"Not-foraging","Foraging"
1,47707,"Not-foraging","Foraging"
1,47708,"Not-foraging","Foraging"
1,47709,"Not-foraging","Foraging"
1,47710,"Not-foraging","Foraging"
1,47711,"Not-foraging","Foraging"
1,47712,"Not-foraging","Foraging"
1,47713,"Not-foraging","Foraging"
1,47714,"Not-foraging","Foraging"
1,47715,"Not-foraging","Foraging"
1,47716,"Not-foraging","Not-foraging"
1,47717,"Not-foraging","Not-foraging"
1,47718,"Not-foraging","Not-foraging"
1,47719,"Not-foraging","Not-foraging"
1,47720,"Not-foraging","Not-foraging"
1,47721,"Not-foraging","Not-foraging"
1,47722,"Not-foraging","Not-foraging"
1,47723,"Not-foraging","Foraging"
1,47724,"Not-foraging","Not-foraging"
1,47725,"Not-foraging","Not-foraging"
1,47726,"Not-foraging","Not-foraging"
1,47727,"Not-foraging","Not-foraging"
1,47728,"Not-foraging","Not-foraging"
1,47729,"Not-foraging","Not-foraging"
1,47730,"Not-foraging","Not-foraging"
1,47731,"Not-foraging","Not-foraging"
1,47732,"Not-foraging","Not-foraging"
1,47733,"Not-foraging","Not-foraging"
1,47734,"Not-foraging","Not-foraging"
1,47735,"Not-foraging","Not-foraging"
1,47736,"Not-foraging","Not-foraging"
1,47737,"Not-foraging","Not-foraging"
1,47738,"Not-foraging","Not-foraging"
1,47739,"Not-foraging","Not-foraging"
1,47740,"Not-foraging","Not-foraging"
1,47741,"Not-foraging","Not-foraging"
1,47742,"Not-foraging","Not-foraging"
1,47743,"Not-foraging","Not-foraging"
1,47744,"Not-foraging","Not-foraging"
1,47745,"Not-foraging","Not-foraging"
1,47746,"Not-foraging","Not-foraging"
1,47747,"Not-foraging","Not-foraging"
1,47748,"Not-foraging","Not-foraging"
1,47749,"Not-foraging","Not-foraging"
1,47750,"Not-foraging","Not-foraging"
1,47751,"Not-foraging","Not-foraging"
1,47752,"Not-foraging","Not-foraging"
1,47753,"Not-foraging","Not-foraging"
1,47754,"Not-foraging","Not-foraging"
1,47755,"Not-foraging","Not-foraging"
1,47756,"Not-foraging","Not-foraging"
1,47757,"Not-foraging","Not-foraging"
1,47758,"Not-foraging","Not-foraging"
1,47759,"Not-foraging","Not-foraging"
1,47760,"Not-foraging","Not-foraging"
1,47761,"Not-foraging","Not-foraging"
1,47762,"Not-foraging","Not-foraging"
1,47763,"Not-foraging","Not-foraging"
1,47764,"Not-foraging","Not-foraging"
1,47765,"Not-foraging","Not-foraging"
1,47766,"Not-foraging","Not-foraging"
1,47767,"Not-foraging","Not-foraging"
1,47768,"Not-foraging","Not-foraging"
1,47769,"Not-foraging","Not-foraging"
1,47770,"Not-foraging","Not-foraging"
1,47771,"Not-foraging","Not-foraging"
1,47772,"Not-foraging","Not-foraging"
1,47773,"Not-foraging","Not-foraging"
1,47774,"Not-foraging","Not-foraging"
1,47775,"Not-foraging","Not-foraging"
1,47776,"Not-foraging","Not-foraging"
1,47777,"Not-foraging","Not-foraging"
1,47778,"Not-foraging","Not-foraging"
1,47779,"Not-foraging","Not-foraging"
1,47780,"Not-foraging","Not-foraging"
1,47781,"Not-foraging","Not-foraging"
1,47782,"Not-foraging","Not-foraging"
1,47783,"Not-foraging","Not-foraging"
1,47784,"Not-foraging","Not-foraging"
1,47785,"Not-foraging","Not-foraging"
1,47786,"Not-foraging","Not-foraging"
1,47787,"Not-foraging","Not-foraging"
1,47788,"Not-foraging","Not-foraging"
1,47789,"Not-foraging","Not-foraging"
1,47790,"Not-foraging","Not-foraging"
1,47791,"Not-foraging","Not-foraging"
1,47792,"Not-foraging","Not-foraging"
1,47793,"Not-foraging","Not-foraging"
1,47794,"Not-foraging","Not-foraging"
1,47795,"Not-foraging","Not-foraging"
1,47796,"Not-foraging","Not-foraging"
1,47797,"Not-foraging","Not-foraging"
1,47798,"Not-foraging","Not-foraging"
1,47799,"Not-foraging","Not-foraging"
1,47800,"Not-foraging","Not-foraging"
1,47801,"Not-foraging","Not-foraging"
1,47802,"Not-foraging","Not-foraging"
1,47803,"Not-foraging","Not-foraging"
1,47804,"Not-foraging","Not-foraging"
1,47805,"Not-foraging","Not-foraging"
1,47806,"Not-foraging","Not-foraging"
1,47807,"Not-foraging","Not-foraging"
1,47808,"Not-foraging","Not-foraging"
1,47809,"Not-foraging","Not-foraging"
1,47810,"Not-foraging","Not-foraging"
1,47811,"Not-foraging","Not-foraging"
1,47812,"Not-foraging","Not-foraging"
1,47813,"Not-foraging","Not-foraging"
1,47814,"Not-foraging","Not-foraging"
1,47815,"Not-foraging","Not-foraging"
1,47816,"Not-foraging","Not-foraging"
1,47817,"Not-foraging","Not-foraging"
1,47818,"Not-foraging","Not-foraging"
1,47819,"Not-foraging","Not-foraging"
1,47820,"Not-foraging","Not-foraging"
1,47821,"Not-foraging","Not-foraging"
1,47822,"Not-foraging","Not-foraging"
1,47823,"Not-foraging","Not-foraging"
1,47824,"Not-foraging","Not-foraging"
1,47825,"Not-foraging","Not-foraging"
1,47826,"Not-foraging","Not-foraging"
1,47827,"Not-foraging","Not-foraging"
1,47828,"Not-foraging","Not-foraging"
1,47829,"Not-foraging","Not-foraging"
1,47830,"Not-foraging","Not-foraging"
1,47831,"Not-foraging","Not-foraging"
1,47832,"Not-foraging","Not-foraging"
1,47833,"Not-foraging","Not-foraging"
1,47834,"Not-foraging","Not-foraging"
1,47835,"Not-foraging","Not-foraging"
1,47836,"Not-foraging","Not-foraging"
1,47837,"Not-foraging","Not-foraging"
1,47838,"Not-foraging","Not-foraging"
1,47839,"Not-foraging","Not-foraging"
1,47840,"Not-foraging","Not-foraging"
1,47841,"Not-foraging","Not-foraging"
1,47842,"Not-foraging","Not-foraging"
1,47843,"Not-foraging","Not-foraging"
1,47844,"Not-foraging","Not-foraging"
1,47845,"Not-foraging","Not-foraging"
1,47846,"Not-foraging","Not-foraging"
1,47847,"Not-foraging","Not-foraging"
1,47848,"Not-foraging","Not-foraging"
1,47849,"Not-foraging","Not-foraging"
1,47850,"Not-foraging","Not-foraging"
1,47851,"Not-foraging","Not-foraging"
1,47852,"Not-foraging","Not-foraging"
