"COLONY","ID","SPECIES","TSECS","observedState","decodedState"
"Blue Circle Is, Larne Lough",3,"Sandwich",50047,"Not-foraging","Foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50048,"Not-foraging","Foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50049,"Not-foraging","Foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50050,"Not-foraging","Foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50051,"Not-foraging","Foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50052,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50053,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50054,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50055,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50056,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50057,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50058,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50059,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50060,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50061,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50062,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50063,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50064,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50065,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50066,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50067,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50068,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50069,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50070,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50071,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50072,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50073,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50074,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50075,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50076,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50077,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50078,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50079,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50080,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50081,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50082,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50083,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50084,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50085,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50086,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50087,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50088,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50089,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",3,"Sandwich",50090,"Not-foraging","Not-foraging"
