"ID","SPECIES","TSECS_GMT","observedState","decodedState"
6,"A",46059,"Not-foraging","Foraging"
6,"A",46060,"Not-foraging","Foraging"
6,"A",46061,"Not-foraging","Foraging"
6,"A",46062,"Not-foraging","Foraging"
6,"A",46063,"Not-foraging","Foraging"
6,"A",46064,"Not-foraging","Foraging"
6,"A",46065,"Not-foraging","Foraging"
6,"A",46066,"Not-foraging","Foraging"
6,"A",46067,"Not-foraging","Not-foraging"
6,"A",46068,"Not-foraging","Not-foraging"
6,"A",46069,"Not-foraging","Not-foraging"
6,"A",46070,"Not-foraging","Not-foraging"
6,"A",46071,"Not-foraging","Not-foraging"
6,"A",46072,"Not-foraging","Not-foraging"
6,"A",46073,"Not-foraging","Not-foraging"
6,"A",46074,"Not-foraging","Not-foraging"
6,"A",46075,"Not-foraging","Not-foraging"
6,"A",46076,"Not-foraging","Not-foraging"
6,"A",46077,"Not-foraging","Not-foraging"
6,"A",46078,"Not-foraging","Not-foraging"
6,"A",46079,"Not-foraging","Not-foraging"
6,"A",46080,"Not-foraging","Not-foraging"
6,"A",46081,"Not-foraging","Not-foraging"
6,"A",46082,"Not-foraging","Not-foraging"
6,"A",46083,"Not-foraging","Not-foraging"
6,"A",46084,"Not-foraging","Not-foraging"
6,"A",46085,"Not-foraging","Not-foraging"
6,"A",46086,"Not-foraging","Not-foraging"
6,"A",46087,"Not-foraging","Not-foraging"
6,"A",46088,"Not-foraging","Not-foraging"
6,"A",46089,"Not-foraging","Not-foraging"
6,"A",46090,"Not-foraging","Not-foraging"
6,"A",46091,"Not-foraging","Not-foraging"
6,"A",46092,"Not-foraging","Not-foraging"
6,"A",46093,"Not-foraging","Not-foraging"
6,"A",46094,"Not-foraging","Not-foraging"
6,"A",46095,"Not-foraging","Not-foraging"
6,"A",46096,"Not-foraging","Not-foraging"
6,"A",46097,"Not-foraging","Not-foraging"
6,"A",46098,"Not-foraging","Not-foraging"
6,"A",46099,"Not-foraging","Not-foraging"
6,"A",46100,"Not-foraging","Not-foraging"
6,"A",46101,"Not-foraging","Not-foraging"
6,"A",46102,"Not-foraging","Not-foraging"
6,"A",46103,"Not-foraging","Not-foraging"
6,"A",46104,"Not-foraging","Not-foraging"
6,"A",46105,"Not-foraging","Not-foraging"
6,"A",46106,"Not-foraging","Not-foraging"
6,"A",46107,"Not-foraging","Not-foraging"
6,"A",46108,"Not-foraging","Not-foraging"
6,"A",46109,"Not-foraging","Not-foraging"
6,"A",46110,"Not-foraging","Not-foraging"
6,"A",46111,"Not-foraging","Not-foraging"
6,"A",46112,"Not-foraging","Not-foraging"
6,"A",46113,"Not-foraging","Not-foraging"
6,"A",46114,"Not-foraging","Not-foraging"
6,"A",46115,"Not-foraging","Not-foraging"
6,"A",46116,"Not-foraging","Not-foraging"
6,"A",46117,"Not-foraging","Not-foraging"
6,"A",46118,"Not-foraging","Not-foraging"
6,"A",46119,"Not-foraging","Not-foraging"
6,"A",46120,"Not-foraging","Not-foraging"
6,"A",46121,"Not-foraging","Not-foraging"
6,"A",46122,"Not-foraging","Not-foraging"
6,"A",46123,"Not-foraging","Not-foraging"
6,"A",46124,"Not-foraging","Not-foraging"
6,"A",46125,"Not-foraging","Not-foraging"
6,"A",46126,"Not-foraging","Not-foraging"
6,"A",46127,"Not-foraging","Not-foraging"
6,"A",46128,"Not-foraging","Not-foraging"
6,"A",46129,"Not-foraging","Not-foraging"
6,"A",46130,"Not-foraging","Not-foraging"
6,"A",46131,"Not-foraging","Not-foraging"
6,"A",46132,"Not-foraging","Not-foraging"
6,"A",46133,"Not-foraging","Not-foraging"
6,"A",46134,"Not-foraging","Not-foraging"
6,"A",46135,"Not-foraging","Not-foraging"
6,"A",46136,"Not-foraging","Not-foraging"
6,"A",46137,"Not-foraging","Not-foraging"
6,"A",46138,"Not-foraging","Not-foraging"
6,"A",46139,"Not-foraging","Not-foraging"
6,"A",46140,"Not-foraging","Not-foraging"
6,"A",46141,"Not-foraging","Not-foraging"
6,"A",46142,"Not-foraging","Not-foraging"
6,"A",46143,"Not-foraging","Not-foraging"
6,"A",46144,"Not-foraging","Not-foraging"
6,"A",46145,"Not-foraging","Not-foraging"
6,"A",46146,"Not-foraging","Not-foraging"
6,"A",46147,"Not-foraging","Not-foraging"
6,"A",46148,"Not-foraging","Not-foraging"
6,"A",46149,"Not-foraging","Not-foraging"
6,"A",46150,"Not-foraging","Not-foraging"
6,"A",46151,"Not-foraging","Not-foraging"
6,"A",46152,"Not-foraging","Not-foraging"
6,"A",46153,"Not-foraging","Not-foraging"
6,"A",46154,"Not-foraging","Not-foraging"
6,"A",46155,"Not-foraging","Not-foraging"
6,"A",46156,"Not-foraging","Not-foraging"
6,"A",46157,"Not-foraging","Not-foraging"
6,"A",46158,"Not-foraging","Not-foraging"
6,"A",46159,"Not-foraging","Not-foraging"
6,"A",46160,"Not-foraging","Not-foraging"
6,"A",46161,"Not-foraging","Not-foraging"
6,"A",46162,"Not-foraging","Not-foraging"
6,"A",46163,"Not-foraging","Not-foraging"
6,"A",46164,"Not-foraging","Not-foraging"
6,"A",46165,"Not-foraging","Not-foraging"
6,"A",46166,"Not-foraging","Not-foraging"
6,"A",46167,"Not-foraging","Not-foraging"
6,"A",46168,"Not-foraging","Not-foraging"
6,"A",46169,"Not-foraging","Not-foraging"
6,"A",46170,"Not-foraging","Not-foraging"
6,"A",46171,"Not-foraging","Not-foraging"
6,"A",46172,"Not-foraging","Not-foraging"
6,"A",46173,"Not-foraging","Not-foraging"
6,"A",46174,"Not-foraging","Not-foraging"
6,"A",46175,"Not-foraging","Not-foraging"
6,"A",46176,"Not-foraging","Not-foraging"
6,"A",46177,"Not-foraging","Not-foraging"
