"ID","SPECIES","TSECS_GMT","observedState","decodedState"
2,"C",33771,"Not-foraging","Foraging"
2,"C",33772,"Not-foraging","Foraging"
2,"C",33773,"Not-foraging","Foraging"
2,"C",33774,"Not-foraging","Foraging"
2,"C",33775,"Not-foraging","Foraging"
2,"C",33776,"Not-foraging","Foraging"
2,"C",33777,"Not-foraging","Foraging"
2,"C",33778,"Not-foraging","Foraging"
2,"C",33779,"Not-foraging","Foraging"
2,"C",33780,"Not-foraging","Foraging"
2,"C",33781,"Not-foraging","Foraging"
2,"C",33782,"Not-foraging","Foraging"
2,"C",33783,"Not-foraging","Foraging"
2,"C",33784,"Not-foraging","Foraging"
2,"C",33785,"Not-foraging","Foraging"
2,"C",33786,"Not-foraging","Foraging"
2,"C",33787,"Not-foraging","Foraging"
2,"C",33788,"Not-foraging","Foraging"
2,"C",33789,"Not-foraging","Foraging"
2,"C",33790,"Not-foraging","Foraging"
2,"C",33791,"Not-foraging","Foraging"
2,"C",33792,"Not-foraging","Foraging"
2,"C",33793,"Not-foraging","Foraging"
2,"C",33794,"Not-foraging","Foraging"
2,"C",33795,"Not-foraging","Foraging"
2,"C",33796,"Not-foraging","Foraging"
2,"C",33797,"Not-foraging","Foraging"
2,"C",33798,"Not-foraging","Not-foraging"
2,"C",33799,"Not-foraging","Not-foraging"
2,"C",33800,"Not-foraging","Not-foraging"
2,"C",33801,"Not-foraging","Not-foraging"
2,"C",33802,"Not-foraging","Not-foraging"
2,"C",33803,"Not-foraging","Not-foraging"
2,"C",33804,"Not-foraging","Not-foraging"
2,"C",33805,"Foraging","Not-foraging"
2,"C",33806,"Foraging","Not-foraging"
2,"C",33807,"Foraging","Not-foraging"
2,"C",33808,"Foraging","Not-foraging"
2,"C",33809,"Foraging","Not-foraging"
2,"C",33810,"Foraging","Not-foraging"
2,"C",33811,"Foraging","Not-foraging"
2,"C",33812,"Foraging","Not-foraging"
2,"C",33813,"Foraging","Not-foraging"
2,"C",33814,"Foraging","Not-foraging"
2,"C",33815,"Foraging","Not-foraging"
2,"C",33816,"Foraging","Not-foraging"
2,"C",33817,"Foraging","Not-foraging"
2,"C",33818,"Foraging","Not-foraging"
2,"C",33819,"Foraging","Not-foraging"
2,"C",33820,"Foraging","Not-foraging"
2,"C",33821,"Foraging","Not-foraging"
2,"C",33822,"Foraging","Not-foraging"
2,"C",33823,"Foraging","Not-foraging"
2,"C",33824,"Foraging","Not-foraging"
2,"C",33825,"Foraging","Not-foraging"
2,"C",33826,"Foraging","Not-foraging"
2,"C",33827,"Foraging","Not-foraging"
2,"C",33828,"Foraging","Not-foraging"
2,"C",33829,"Foraging","Not-foraging"
2,"C",33830,"Foraging","Not-foraging"
2,"C",33831,"Foraging","Not-foraging"
2,"C",33832,"Foraging","Not-foraging"
2,"C",33833,"Foraging","Not-foraging"
2,"C",33834,"Foraging","Not-foraging"
2,"C",33835,"Foraging","Not-foraging"
2,"C",33836,"Foraging","Not-foraging"
2,"C",33837,"Foraging","Not-foraging"
2,"C",33838,"Foraging","Not-foraging"
2,"C",33839,"Foraging","Not-foraging"
2,"C",33840,"Foraging","Not-foraging"
2,"C",33841,"Foraging","Not-foraging"
2,"C",33842,"Foraging","Not-foraging"
2,"C",33843,"Foraging","Not-foraging"
2,"C",33844,"Foraging","Not-foraging"
2,"C",33845,"Foraging","Not-foraging"
2,"C",33846,"Foraging","Not-foraging"
2,"C",33847,"Foraging","Not-foraging"
2,"C",33848,"Foraging","Not-foraging"
2,"C",33849,"Foraging","Not-foraging"
2,"C",33850,"Foraging","Not-foraging"
2,"C",33851,"Foraging","Not-foraging"
2,"C",33852,"Foraging","Not-foraging"
2,"C",33853,"Foraging","Not-foraging"
2,"C",33854,"Foraging","Not-foraging"
2,"C",33855,"Foraging","Not-foraging"
2,"C",33856,"Foraging","Not-foraging"
2,"C",33857,"Foraging","Not-foraging"
2,"C",33858,"Foraging","Not-foraging"
2,"C",33859,"Foraging","Not-foraging"
2,"C",33860,"Foraging","Not-foraging"
2,"C",33861,"Foraging","Not-foraging"
2,"C",33862,"Foraging","Not-foraging"
2,"C",33863,"Foraging","Not-foraging"
2,"C",33864,"Foraging","Not-foraging"
2,"C",33865,"Foraging","Not-foraging"
2,"C",33866,"Foraging","Not-foraging"
2,"C",33867,"Foraging","Not-foraging"
2,"C",33868,"Foraging","Not-foraging"
2,"C",33869,"Foraging","Not-foraging"
2,"C",33870,"Foraging","Not-foraging"
2,"C",33871,"Foraging","Not-foraging"
2,"C",33872,"Foraging","Not-foraging"
2,"C",33873,"Foraging","Not-foraging"
2,"C",33874,"Foraging","Not-foraging"
2,"C",33875,"Foraging","Not-foraging"
2,"C",33876,"Foraging","Not-foraging"
2,"C",33877,"Foraging","Not-foraging"
2,"C",33878,"Foraging","Not-foraging"
2,"C",33879,"Foraging","Not-foraging"
2,"C",33880,"Foraging","Not-foraging"
2,"C",33881,"Foraging","Not-foraging"
2,"C",33882,"Foraging","Not-foraging"
2,"C",33883,"Foraging","Not-foraging"
2,"C",33884,"Foraging","Not-foraging"
2,"C",33885,"Foraging","Not-foraging"
2,"C",33886,"Foraging","Not-foraging"
2,"C",33887,"Foraging","Not-foraging"
2,"C",33888,"Foraging","Not-foraging"
2,"C",33889,"Foraging","Not-foraging"
2,"C",33890,"Foraging","Not-foraging"
2,"C",33891,"Foraging","Not-foraging"
2,"C",33892,"Foraging","Not-foraging"
2,"C",33893,"Foraging","Not-foraging"
2,"C",33894,"Foraging","Not-foraging"
2,"C",33895,"Foraging","Not-foraging"
2,"C",33896,"Foraging","Not-foraging"
2,"C",33897,"Foraging","Not-foraging"
2,"C",33898,"Foraging","Not-foraging"
2,"C",33899,"Foraging","Not-foraging"
2,"C",33900,"Foraging","Not-foraging"
2,"C",33901,"Foraging","Not-foraging"
2,"C",33902,"Foraging","Not-foraging"
2,"C",33903,"Foraging","Not-foraging"
2,"C",33904,"Foraging","Foraging"
2,"C",33905,"Foraging","Not-foraging"
2,"C",33906,"Foraging","Not-foraging"
2,"C",33907,"Foraging","Not-foraging"
2,"C",33908,"Foraging","Not-foraging"
2,"C",33909,"Foraging","Not-foraging"
2,"C",33910,"Foraging","Not-foraging"
2,"C",33911,"Foraging","Not-foraging"
2,"C",33912,"Foraging","Not-foraging"
2,"C",33913,"Foraging","Not-foraging"
2,"C",33914,"Foraging","Not-foraging"
2,"C",33915,"Foraging","Not-foraging"
2,"C",33916,"Foraging","Not-foraging"
2,"C",33917,"Foraging","Not-foraging"
2,"C",33918,"Foraging","Not-foraging"
2,"C",33919,"Foraging","Not-foraging"
2,"C",33920,"Foraging","Not-foraging"
2,"C",33921,"Foraging","Not-foraging"
2,"C",33922,"Foraging","Not-foraging"
2,"C",33923,"Foraging","Not-foraging"
2,"C",33924,"Foraging","Not-foraging"
2,"C",33925,"Foraging","Not-foraging"
2,"C",33926,"Foraging","Not-foraging"
2,"C",33927,"Foraging","Not-foraging"
2,"C",33928,"Foraging","Not-foraging"
2,"C",33929,"Foraging","Not-foraging"
2,"C",33930,"Foraging","Not-foraging"
2,"C",33931,"Foraging","Not-foraging"
2,"C",33932,"Foraging","Not-foraging"
2,"C",33933,"Foraging","Not-foraging"
2,"C",33934,"Foraging","Not-foraging"
2,"C",33935,"Foraging","Not-foraging"
2,"C",33936,"Foraging","Not-foraging"
2,"C",33937,"Foraging","Not-foraging"
2,"C",33938,"Foraging","Not-foraging"
2,"C",33939,"Foraging","Not-foraging"
2,"C",33940,"Not-foraging","Not-foraging"
2,"C",33941,"Not-foraging","Not-foraging"
2,"C",33942,"Not-foraging","Not-foraging"
2,"C",33943,"Not-foraging","Not-foraging"
2,"C",33944,"Not-foraging","Not-foraging"
2,"C",33945,"Not-foraging","Not-foraging"
2,"C",33946,"Not-foraging","Not-foraging"
2,"C",33947,"Not-foraging","Not-foraging"
2,"C",33948,"Not-foraging","Not-foraging"
2,"C",33949,"Not-foraging","Not-foraging"
2,"C",33950,"Not-foraging","Not-foraging"
2,"C",33951,"Not-foraging","Not-foraging"
2,"C",33952,"Not-foraging","Not-foraging"
2,"C",33953,"Not-foraging","Not-foraging"
2,"C",33954,"Not-foraging","Not-foraging"
2,"C",33955,"Not-foraging","Not-foraging"
2,"C",33956,"Not-foraging","Not-foraging"
2,"C",33957,"Not-foraging","Not-foraging"
2,"C",33958,"Not-foraging","Not-foraging"
2,"C",33959,"Not-foraging","Not-foraging"
2,"C",33960,"Not-foraging","Not-foraging"
2,"C",33961,"Not-foraging","Not-foraging"
2,"C",33962,"Not-foraging","Not-foraging"
2,"C",33963,"Not-foraging","Not-foraging"
2,"C",33964,"Not-foraging","Not-foraging"
2,"C",33965,"Not-foraging","Foraging"
2,"C",33966,"Not-foraging","Foraging"
2,"C",33967,"Not-foraging","Foraging"
2,"C",33968,"Not-foraging","Foraging"
2,"C",33969,"Not-foraging","Foraging"
2,"C",33970,"Not-foraging","Foraging"
2,"C",33971,"Not-foraging","Foraging"
2,"C",33972,"Not-foraging","Foraging"
2,"C",33973,"Not-foraging","Foraging"
2,"C",33974,"Not-foraging","Foraging"
2,"C",33975,"Foraging","Foraging"
2,"C",33976,"Foraging","Foraging"
2,"C",33977,"Foraging","Foraging"
2,"C",33978,"Foraging","Foraging"
2,"C",33979,"Foraging","Foraging"
2,"C",33980,"Foraging","Foraging"
2,"C",33981,"Foraging","Foraging"
2,"C",33982,"Foraging","Foraging"
2,"C",33983,"Foraging","Foraging"
2,"C",33984,"Foraging","Foraging"
2,"C",33985,"Foraging","Foraging"
2,"C",33986,"Foraging","Foraging"
2,"C",33987,"Foraging","Foraging"
2,"C",33988,"Foraging","Foraging"
2,"C",33989,"Foraging","Foraging"
2,"C",33990,"Foraging","Foraging"
2,"C",33991,"Foraging","Foraging"
2,"C",33992,"Foraging","Foraging"
2,"C",33993,"Foraging","Foraging"
2,"C",33994,"Foraging","Foraging"
2,"C",33995,"Foraging","Foraging"
2,"C",33996,"Foraging","Foraging"
2,"C",33997,"Foraging","Foraging"
