"ID","SPECIES","STAGE","TSECS","observedState","decodedState"
23,"Sandwich","Chick",33046,"Not-foraging","Foraging"
23,"Sandwich","Chick",33047,"Not-foraging","Foraging"
23,"Sandwich","Chick",33048,"Not-foraging","Foraging"
23,"Sandwich","Chick",33049,"Not-foraging","Foraging"
23,"Sandwich","Chick",33050,"Not-foraging","Foraging"
23,"Sandwich","Chick",33051,"Not-foraging","Foraging"
23,"Sandwich","Chick",33052,"Not-foraging","Foraging"
23,"Sandwich","Chick",33053,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33054,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33055,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33056,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33057,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33058,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33059,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33060,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33061,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33062,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33063,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33064,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33065,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33066,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33067,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33068,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33069,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33070,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33071,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33072,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33073,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33074,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33075,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33076,"Not-foraging","Not-foraging"
