"ID","SPECIES","TSECS","observedState","decodedState"
10,"Roseate tern",48186,"Not-foraging","Not-foraging"
10,"Roseate tern",48187,"Not-foraging","Not-foraging"
10,"Roseate tern",48188,"Not-foraging","Not-foraging"
10,"Roseate tern",48189,"Not-foraging","Not-foraging"
10,"Roseate tern",48190,"Not-foraging","Not-foraging"
10,"Roseate tern",48191,"Not-foraging","Not-foraging"
10,"Roseate tern",48192,"Not-foraging","Not-foraging"
10,"Roseate tern",48193,"Not-foraging","Not-foraging"
10,"Roseate tern",48194,"Not-foraging","Not-foraging"
10,"Roseate tern",48195,"Not-foraging","Not-foraging"
10,"Roseate tern",48196,"Not-foraging","Not-foraging"
10,"Roseate tern",48197,"Not-foraging","Not-foraging"
10,"Roseate tern",48198,"Not-foraging","Not-foraging"
10,"Roseate tern",48199,"Not-foraging","Not-foraging"
10,"Roseate tern",48200,"Not-foraging","Not-foraging"
10,"Roseate tern",48201,"Not-foraging","Foraging"
10,"Roseate tern",48202,"Not-foraging","Not-foraging"
10,"Roseate tern",48203,"Not-foraging","Not-foraging"
10,"Roseate tern",48204,"Not-foraging","Not-foraging"
10,"Roseate tern",48205,"Not-foraging","Not-foraging"
10,"Roseate tern",48206,"Not-foraging","Not-foraging"
10,"Roseate tern",48207,"Not-foraging","Not-foraging"
10,"Roseate tern",48208,"Not-foraging","Not-foraging"
10,"Roseate tern",48209,"Not-foraging","Not-foraging"
10,"Roseate tern",48210,"Not-foraging","Not-foraging"
10,"Roseate tern",48211,"Not-foraging","Foraging"
10,"Roseate tern",48212,"Not-foraging","Not-foraging"
10,"Roseate tern",48213,"Not-foraging","Not-foraging"
10,"Roseate tern",48214,"Not-foraging","Not-foraging"
10,"Roseate tern",48215,"Not-foraging","Not-foraging"
10,"Roseate tern",48216,"Not-foraging","Foraging"
10,"Roseate tern",48217,"Not-foraging","Not-foraging"
10,"Roseate tern",48218,"Not-foraging","Not-foraging"
10,"Roseate tern",48219,"Not-foraging","Not-foraging"
10,"Roseate tern",48220,"Not-foraging","Not-foraging"
10,"Roseate tern",48221,"Not-foraging","Not-foraging"
10,"Roseate tern",48222,"Not-foraging","Not-foraging"
10,"Roseate tern",48223,"Not-foraging","Not-foraging"
10,"Roseate tern",48224,"Not-foraging","Not-foraging"
10,"Roseate tern",48225,"Not-foraging","Not-foraging"
10,"Roseate tern",48226,"Not-foraging","Not-foraging"
10,"Roseate tern",48227,"Not-foraging","Not-foraging"
10,"Roseate tern",48228,"Not-foraging","Not-foraging"
10,"Roseate tern",48229,"Not-foraging","Not-foraging"
10,"Roseate tern",48230,"Not-foraging","Not-foraging"
10,"Roseate tern",48231,"Not-foraging","Not-foraging"
10,"Roseate tern",48232,"Not-foraging","Not-foraging"
10,"Roseate tern",48233,"Not-foraging","Not-foraging"
10,"Roseate tern",48234,"Not-foraging","Not-foraging"
10,"Roseate tern",48235,"Not-foraging","Not-foraging"
10,"Roseate tern",48236,"Not-foraging","Not-foraging"
10,"Roseate tern",48237,"Not-foraging","Not-foraging"
10,"Roseate tern",48238,"Not-foraging","Not-foraging"
10,"Roseate tern",48239,"Not-foraging","Not-foraging"
10,"Roseate tern",48240,"Not-foraging","Not-foraging"
10,"Roseate tern",48241,"Not-foraging","Foraging"
10,"Roseate tern",48242,"Not-foraging","Not-foraging"
10,"Roseate tern",48243,"Not-foraging","Not-foraging"
10,"Roseate tern",48244,"Not-foraging","Not-foraging"
10,"Roseate tern",48245,"Not-foraging","Not-foraging"
10,"Roseate tern",48246,"Not-foraging","Not-foraging"
10,"Roseate tern",48247,"Not-foraging","Not-foraging"
10,"Roseate tern",48248,"Not-foraging","Not-foraging"
10,"Roseate tern",48249,"Not-foraging","Not-foraging"
10,"Roseate tern",48250,"Not-foraging","Not-foraging"
10,"Roseate tern",48251,"Not-foraging","Not-foraging"
10,"Roseate tern",48252,"Not-foraging","Not-foraging"
10,"Roseate tern",48253,"Not-foraging","Not-foraging"
10,"Roseate tern",48254,"Not-foraging","Not-foraging"
10,"Roseate tern",48255,"Not-foraging","Not-foraging"
10,"Roseate tern",48256,"Not-foraging","Not-foraging"
10,"Roseate tern",48257,"Not-foraging","Not-foraging"
10,"Roseate tern",48258,"Not-foraging","Not-foraging"
10,"Roseate tern",48259,"Not-foraging","Not-foraging"
10,"Roseate tern",48260,"Not-foraging","Not-foraging"
10,"Roseate tern",48261,"Not-foraging","Not-foraging"
10,"Roseate tern",48262,"Not-foraging","Not-foraging"
10,"Roseate tern",48263,"Not-foraging","Not-foraging"
10,"Roseate tern",48264,"Not-foraging","Not-foraging"
10,"Roseate tern",48265,"Not-foraging","Not-foraging"
10,"Roseate tern",48266,"Not-foraging","Foraging"
10,"Roseate tern",48267,"Not-foraging","Not-foraging"
