"ID","SPECIES","TSECS","observedState","decodedState"
8,"Sandwich tern",35051,"Not-foraging","Not-foraging"
8,"Sandwich tern",35052,"Not-foraging","Not-foraging"
8,"Sandwich tern",35053,"Not-foraging","Not-foraging"
8,"Sandwich tern",35054,"Not-foraging","Not-foraging"
8,"Sandwich tern",35055,"Not-foraging","Not-foraging"
8,"Sandwich tern",35056,"Not-foraging","Foraging"
8,"Sandwich tern",35057,"Not-foraging","Not-foraging"
8,"Sandwich tern",35058,"Not-foraging","Not-foraging"
8,"Sandwich tern",35059,"Not-foraging","Not-foraging"
8,"Sandwich tern",35060,"Not-foraging","Not-foraging"
8,"Sandwich tern",35061,"Not-foraging","Not-foraging"
8,"Sandwich tern",35062,"Not-foraging","Not-foraging"
8,"Sandwich tern",35063,"Not-foraging","Not-foraging"
8,"Sandwich tern",35064,"Not-foraging","Not-foraging"
8,"Sandwich tern",35065,"Not-foraging","Not-foraging"
8,"Sandwich tern",35066,"Not-foraging","Not-foraging"
8,"Sandwich tern",35067,"Not-foraging","Not-foraging"
8,"Sandwich tern",35068,"Not-foraging","Not-foraging"
8,"Sandwich tern",35069,"Not-foraging","Not-foraging"
8,"Sandwich tern",35070,"Not-foraging","Not-foraging"
8,"Sandwich tern",35071,"Not-foraging","Not-foraging"
8,"Sandwich tern",35072,"Not-foraging","Not-foraging"
8,"Sandwich tern",35073,"Not-foraging","Not-foraging"
8,"Sandwich tern",35074,"Not-foraging","Not-foraging"
8,"Sandwich tern",35075,"Not-foraging","Not-foraging"
8,"Sandwich tern",35076,"Not-foraging","Not-foraging"
8,"Sandwich tern",35077,"Not-foraging","Not-foraging"
8,"Sandwich tern",35078,"Not-foraging","Not-foraging"
8,"Sandwich tern",35079,"Not-foraging","Not-foraging"
8,"Sandwich tern",35080,"Not-foraging","Not-foraging"
8,"Sandwich tern",35081,"Not-foraging","Not-foraging"
8,"Sandwich tern",35082,"Not-foraging","Not-foraging"
8,"Sandwich tern",35083,"Not-foraging","Not-foraging"
8,"Sandwich tern",35084,"Not-foraging","Not-foraging"
8,"Sandwich tern",35085,"Not-foraging","Not-foraging"
8,"Sandwich tern",35086,"Not-foraging","Not-foraging"
8,"Sandwich tern",35087,"Not-foraging","Not-foraging"
8,"Sandwich tern",35088,"Not-foraging","Not-foraging"
8,"Sandwich tern",35089,"Not-foraging","Not-foraging"
8,"Sandwich tern",35090,"Not-foraging","Not-foraging"
8,"Sandwich tern",35091,"Not-foraging","Not-foraging"
8,"Sandwich tern",35092,"Not-foraging","Not-foraging"
8,"Sandwich tern",35093,"Not-foraging","Not-foraging"
8,"Sandwich tern",35094,"Not-foraging","Not-foraging"
8,"Sandwich tern",35095,"Not-foraging","Not-foraging"
8,"Sandwich tern",35096,"Not-foraging","Not-foraging"
8,"Sandwich tern",35097,"Not-foraging","Not-foraging"
8,"Sandwich tern",35098,"Not-foraging","Not-foraging"
8,"Sandwich tern",35099,"Not-foraging","Not-foraging"
8,"Sandwich tern",35100,"Not-foraging","Not-foraging"
8,"Sandwich tern",35101,"Not-foraging","Not-foraging"
8,"Sandwich tern",35102,"Not-foraging","Not-foraging"
8,"Sandwich tern",35103,"Not-foraging","Not-foraging"
8,"Sandwich tern",35104,"Not-foraging","Not-foraging"
8,"Sandwich tern",35105,"Not-foraging","Not-foraging"
8,"Sandwich tern",35106,"Not-foraging","Not-foraging"
8,"Sandwich tern",35107,"Not-foraging","Not-foraging"
8,"Sandwich tern",35108,"Not-foraging","Not-foraging"
8,"Sandwich tern",35109,"Foraging","Not-foraging"
8,"Sandwich tern",35110,"Foraging","Not-foraging"
8,"Sandwich tern",35111,"Foraging","Not-foraging"
8,"Sandwich tern",35112,"Foraging","Not-foraging"
8,"Sandwich tern",35113,"Foraging","Not-foraging"
8,"Sandwich tern",35114,"Foraging","Not-foraging"
8,"Sandwich tern",35115,"Foraging","Not-foraging"
8,"Sandwich tern",35116,"Foraging","Not-foraging"
8,"Sandwich tern",35117,"Foraging","Not-foraging"
8,"Sandwich tern",35118,"Foraging","Not-foraging"
8,"Sandwich tern",35119,"Foraging","Not-foraging"
8,"Sandwich tern",35120,"Foraging","Not-foraging"
8,"Sandwich tern",35121,"Foraging","Not-foraging"
8,"Sandwich tern",35122,"Not-foraging","Not-foraging"
8,"Sandwich tern",35123,"Not-foraging","Not-foraging"
8,"Sandwich tern",35124,"Not-foraging","Not-foraging"
8,"Sandwich tern",35125,"Not-foraging","Not-foraging"
8,"Sandwich tern",35126,"Not-foraging","Not-foraging"
8,"Sandwich tern",35127,"Not-foraging","Not-foraging"
8,"Sandwich tern",35128,"Not-foraging","Not-foraging"
8,"Sandwich tern",35129,"Not-foraging","Not-foraging"
8,"Sandwich tern",35130,"Not-foraging","Not-foraging"
8,"Sandwich tern",35131,"Not-foraging","Not-foraging"
8,"Sandwich tern",35132,"Not-foraging","Not-foraging"
8,"Sandwich tern",35133,"Not-foraging","Not-foraging"
8,"Sandwich tern",35134,"Not-foraging","Not-foraging"
8,"Sandwich tern",35135,"Not-foraging","Not-foraging"
8,"Sandwich tern",35136,"Not-foraging","Not-foraging"
8,"Sandwich tern",35137,"Not-foraging","Not-foraging"
8,"Sandwich tern",35138,"Not-foraging","Not-foraging"
8,"Sandwich tern",35139,"Not-foraging","Not-foraging"
8,"Sandwich tern",35140,"Not-foraging","Not-foraging"
8,"Sandwich tern",35141,"Not-foraging","Not-foraging"
8,"Sandwich tern",35142,"Not-foraging","Not-foraging"
8,"Sandwich tern",35143,"Not-foraging","Not-foraging"
8,"Sandwich tern",35144,"Not-foraging","Not-foraging"
8,"Sandwich tern",35145,"Not-foraging","Not-foraging"
8,"Sandwich tern",35146,"Not-foraging","Not-foraging"
8,"Sandwich tern",35147,"Not-foraging","Not-foraging"
8,"Sandwich tern",35148,"Not-foraging","Not-foraging"
8,"Sandwich tern",35149,"Not-foraging","Not-foraging"
8,"Sandwich tern",35150,"Not-foraging","Not-foraging"
8,"Sandwich tern",35151,"Not-foraging","Not-foraging"
8,"Sandwich tern",35152,"Not-foraging","Not-foraging"
8,"Sandwich tern",35153,"Not-foraging","Not-foraging"
8,"Sandwich tern",35154,"Not-foraging","Not-foraging"
8,"Sandwich tern",35155,"Not-foraging","Not-foraging"
8,"Sandwich tern",35156,"Not-foraging","Not-foraging"
8,"Sandwich tern",35157,"Not-foraging","Not-foraging"
8,"Sandwich tern",35158,"Not-foraging","Not-foraging"
8,"Sandwich tern",35159,"Not-foraging","Not-foraging"
8,"Sandwich tern",35160,"Not-foraging","Not-foraging"
8,"Sandwich tern",35161,"Not-foraging","Not-foraging"
8,"Sandwich tern",35162,"Not-foraging","Not-foraging"
8,"Sandwich tern",35163,"Not-foraging","Not-foraging"
8,"Sandwich tern",35164,"Not-foraging","Not-foraging"
8,"Sandwich tern",35165,"Not-foraging","Not-foraging"
8,"Sandwich tern",35166,"Not-foraging","Not-foraging"
8,"Sandwich tern",35167,"Not-foraging","Not-foraging"
8,"Sandwich tern",35168,"Not-foraging","Not-foraging"
8,"Sandwich tern",35169,"Not-foraging","Not-foraging"
8,"Sandwich tern",35170,"Not-foraging","Not-foraging"
8,"Sandwich tern",35171,"Not-foraging","Not-foraging"
8,"Sandwich tern",35172,"Not-foraging","Not-foraging"
8,"Sandwich tern",35173,"Not-foraging","Not-foraging"
8,"Sandwich tern",35174,"Not-foraging","Not-foraging"
8,"Sandwich tern",35175,"Not-foraging","Not-foraging"
8,"Sandwich tern",35176,"Not-foraging","Not-foraging"
8,"Sandwich tern",35177,"Not-foraging","Not-foraging"
8,"Sandwich tern",35178,"Not-foraging","Not-foraging"
8,"Sandwich tern",35179,"Not-foraging","Not-foraging"
8,"Sandwich tern",35180,"Not-foraging","Not-foraging"
8,"Sandwich tern",35181,"Not-foraging","Not-foraging"
8,"Sandwich tern",35182,"Not-foraging","Not-foraging"
8,"Sandwich tern",35183,"Not-foraging","Not-foraging"
8,"Sandwich tern",35184,"Not-foraging","Not-foraging"
8,"Sandwich tern",35185,"Not-foraging","Not-foraging"
8,"Sandwich tern",35186,"Not-foraging","Not-foraging"
8,"Sandwich tern",35187,"Not-foraging","Not-foraging"
8,"Sandwich tern",35188,"Not-foraging","Not-foraging"
8,"Sandwich tern",35189,"Not-foraging","Not-foraging"
8,"Sandwich tern",35190,"Not-foraging","Not-foraging"
8,"Sandwich tern",35191,"Not-foraging","Not-foraging"
8,"Sandwich tern",35192,"Not-foraging","Not-foraging"
8,"Sandwich tern",35193,"Not-foraging","Not-foraging"
8,"Sandwich tern",35194,"Not-foraging","Not-foraging"
8,"Sandwich tern",35195,"Not-foraging","Not-foraging"
8,"Sandwich tern",35196,"Not-foraging","Not-foraging"
8,"Sandwich tern",35197,"Not-foraging","Not-foraging"
8,"Sandwich tern",35198,"Not-foraging","Not-foraging"
8,"Sandwich tern",35199,"Not-foraging","Not-foraging"
8,"Sandwich tern",35200,"Not-foraging","Not-foraging"
8,"Sandwich tern",35201,"Not-foraging","Not-foraging"
8,"Sandwich tern",35202,"Not-foraging","Not-foraging"
8,"Sandwich tern",35203,"Not-foraging","Not-foraging"
8,"Sandwich tern",35204,"Not-foraging","Not-foraging"
8,"Sandwich tern",35205,"Not-foraging","Not-foraging"
8,"Sandwich tern",35206,"Not-foraging","Not-foraging"
8,"Sandwich tern",35207,"Not-foraging","Not-foraging"
8,"Sandwich tern",35208,"Not-foraging","Not-foraging"
8,"Sandwich tern",35209,"Not-foraging","Not-foraging"
8,"Sandwich tern",35210,"Not-foraging","Not-foraging"
8,"Sandwich tern",35211,"Not-foraging","Not-foraging"
8,"Sandwich tern",35212,"Not-foraging","Not-foraging"
8,"Sandwich tern",35213,"Not-foraging","Not-foraging"
8,"Sandwich tern",35214,"Not-foraging","Not-foraging"
8,"Sandwich tern",35215,"Not-foraging","Not-foraging"
8,"Sandwich tern",35216,"Not-foraging","Not-foraging"
8,"Sandwich tern",35217,"Not-foraging","Not-foraging"
8,"Sandwich tern",35218,"Not-foraging","Not-foraging"
8,"Sandwich tern",35219,"Not-foraging","Not-foraging"
8,"Sandwich tern",35220,"Not-foraging","Not-foraging"
8,"Sandwich tern",35221,"Not-foraging","Not-foraging"
8,"Sandwich tern",35222,"Not-foraging","Not-foraging"
8,"Sandwich tern",35223,"Not-foraging","Not-foraging"
8,"Sandwich tern",35224,"Not-foraging","Not-foraging"
8,"Sandwich tern",35225,"Not-foraging","Not-foraging"
8,"Sandwich tern",35226,"Not-foraging","Not-foraging"
8,"Sandwich tern",35227,"Not-foraging","Not-foraging"
8,"Sandwich tern",35228,"Not-foraging","Not-foraging"
8,"Sandwich tern",35229,"Not-foraging","Not-foraging"
8,"Sandwich tern",35230,"Not-foraging","Not-foraging"
8,"Sandwich tern",35231,"Not-foraging","Not-foraging"
8,"Sandwich tern",35232,"Not-foraging","Not-foraging"
8,"Sandwich tern",35233,"Not-foraging","Not-foraging"
8,"Sandwich tern",35234,"Not-foraging","Not-foraging"
8,"Sandwich tern",35235,"Not-foraging","Not-foraging"
8,"Sandwich tern",35236,"Not-foraging","Not-foraging"
8,"Sandwich tern",35237,"Not-foraging","Not-foraging"
8,"Sandwich tern",35238,"Not-foraging","Not-foraging"
8,"Sandwich tern",35239,"Not-foraging","Not-foraging"
8,"Sandwich tern",35240,"Not-foraging","Not-foraging"
8,"Sandwich tern",35241,"Not-foraging","Not-foraging"
8,"Sandwich tern",35242,"Not-foraging","Not-foraging"
8,"Sandwich tern",35243,"Not-foraging","Not-foraging"
8,"Sandwich tern",35244,"Not-foraging","Not-foraging"
8,"Sandwich tern",35245,"Not-foraging","Not-foraging"
8,"Sandwich tern",35246,"Not-foraging","Not-foraging"
8,"Sandwich tern",35247,"Not-foraging","Not-foraging"
8,"Sandwich tern",35248,"Not-foraging","Not-foraging"
8,"Sandwich tern",35249,"Not-foraging","Not-foraging"
8,"Sandwich tern",35250,"Not-foraging","Not-foraging"
8,"Sandwich tern",35251,"Not-foraging","Not-foraging"
8,"Sandwich tern",35252,"Not-foraging","Not-foraging"
8,"Sandwich tern",35253,"Not-foraging","Not-foraging"
8,"Sandwich tern",35254,"Not-foraging","Not-foraging"
8,"Sandwich tern",35255,"Not-foraging","Not-foraging"
8,"Sandwich tern",35256,"Not-foraging","Not-foraging"
8,"Sandwich tern",35257,"Not-foraging","Not-foraging"
8,"Sandwich tern",35258,"Not-foraging","Not-foraging"
8,"Sandwich tern",35259,"Not-foraging","Not-foraging"
8,"Sandwich tern",35260,"Not-foraging","Not-foraging"
8,"Sandwich tern",35261,"Not-foraging","Not-foraging"
8,"Sandwich tern",35262,"Not-foraging","Not-foraging"
8,"Sandwich tern",35263,"Not-foraging","Not-foraging"
8,"Sandwich tern",35264,"Not-foraging","Not-foraging"
8,"Sandwich tern",35265,"Not-foraging","Not-foraging"
8,"Sandwich tern",35266,"Not-foraging","Not-foraging"
8,"Sandwich tern",35267,"Not-foraging","Not-foraging"
8,"Sandwich tern",35268,"Not-foraging","Not-foraging"
8,"Sandwich tern",35269,"Not-foraging","Not-foraging"
8,"Sandwich tern",35270,"Not-foraging","Not-foraging"
8,"Sandwich tern",35271,"Not-foraging","Not-foraging"
8,"Sandwich tern",35272,"Not-foraging","Not-foraging"
8,"Sandwich tern",35273,"Not-foraging","Not-foraging"
8,"Sandwich tern",35274,"Not-foraging","Not-foraging"
8,"Sandwich tern",35275,"Not-foraging","Not-foraging"
8,"Sandwich tern",35276,"Not-foraging","Not-foraging"
8,"Sandwich tern",35277,"Not-foraging","Not-foraging"
8,"Sandwich tern",35278,"Not-foraging","Not-foraging"
8,"Sandwich tern",35279,"Not-foraging","Not-foraging"
8,"Sandwich tern",35280,"Not-foraging","Not-foraging"
8,"Sandwich tern",35281,"Not-foraging","Not-foraging"
8,"Sandwich tern",35282,"Not-foraging","Not-foraging"
8,"Sandwich tern",35283,"Not-foraging","Not-foraging"
8,"Sandwich tern",35284,"Not-foraging","Not-foraging"
8,"Sandwich tern",35285,"Not-foraging","Not-foraging"
8,"Sandwich tern",35286,"Not-foraging","Not-foraging"
