"ID","SPECIES","BSTTSECS","observedState","decodedState"
2,"Sandwich",35997,"Not-foraging","Foraging"
2,"Sandwich",35998,"Not-foraging","Foraging"
2,"Sandwich",35999,"Not-foraging","Foraging"
2,"Sandwich",36000,"Not-foraging","Foraging"
2,"Sandwich",36001,"Not-foraging","Foraging"
2,"Sandwich",36002,"Not-foraging","Foraging"
2,"Sandwich",36003,"Not-foraging","Foraging"
2,"Sandwich",36004,"Not-foraging","Foraging"
2,"Sandwich",36005,"Not-foraging","Foraging"
2,"Sandwich",36006,"Not-foraging","Foraging"
2,"Sandwich",36007,"Not-foraging","Foraging"
2,"Sandwich",36008,"Not-foraging","Foraging"
2,"Sandwich",36009,"Not-foraging","Foraging"
2,"Sandwich",36010,"Not-foraging","Not-foraging"
2,"Sandwich",36011,"Not-foraging","Not-foraging"
2,"Sandwich",36012,"Not-foraging","Not-foraging"
2,"Sandwich",36013,"Not-foraging","Not-foraging"
2,"Sandwich",36014,"Not-foraging","Not-foraging"
2,"Sandwich",36015,"Not-foraging","Not-foraging"
2,"Sandwich",36016,"Not-foraging","Not-foraging"
2,"Sandwich",36017,"Not-foraging","Not-foraging"
2,"Sandwich",36018,"Not-foraging","Not-foraging"
2,"Sandwich",36019,"Not-foraging","Not-foraging"
2,"Sandwich",36020,"Not-foraging","Not-foraging"
2,"Sandwich",36021,"Not-foraging","Not-foraging"
2,"Sandwich",36022,"Not-foraging","Not-foraging"
2,"Sandwich",36023,"Not-foraging","Not-foraging"
2,"Sandwich",36024,"Not-foraging","Not-foraging"
2,"Sandwich",36025,"Not-foraging","Not-foraging"
2,"Sandwich",36026,"Not-foraging","Not-foraging"
2,"Sandwich",36027,"Not-foraging","Not-foraging"
2,"Sandwich",36028,"Not-foraging","Not-foraging"
2,"Sandwich",36029,"Not-foraging","Not-foraging"
2,"Sandwich",36030,"Not-foraging","Not-foraging"
2,"Sandwich",36031,"Not-foraging","Not-foraging"
2,"Sandwich",36032,"Not-foraging","Not-foraging"
2,"Sandwich",36033,"Not-foraging","Not-foraging"
2,"Sandwich",36034,"Not-foraging","Not-foraging"
2,"Sandwich",36035,"Not-foraging","Not-foraging"
2,"Sandwich",36036,"Not-foraging","Not-foraging"
2,"Sandwich",36037,"Not-foraging","Not-foraging"
2,"Sandwich",36038,"Not-foraging","Not-foraging"
2,"Sandwich",36039,"Not-foraging","Not-foraging"
2,"Sandwich",36040,"Not-foraging","Not-foraging"
2,"Sandwich",36041,"Not-foraging","Not-foraging"
2,"Sandwich",36042,"Not-foraging","Not-foraging"
2,"Sandwich",36043,"Not-foraging","Not-foraging"
2,"Sandwich",36044,"Not-foraging","Not-foraging"
2,"Sandwich",36045,"Not-foraging","Not-foraging"
2,"Sandwich",36046,"Not-foraging","Not-foraging"
2,"Sandwich",36047,"Not-foraging","Not-foraging"
2,"Sandwich",36048,"Foraging","Not-foraging"
2,"Sandwich",36049,"Foraging","Not-foraging"
2,"Sandwich",36050,"Foraging","Not-foraging"
2,"Sandwich",36051,"Foraging","Not-foraging"
2,"Sandwich",36052,"Foraging","Not-foraging"
2,"Sandwich",36053,"Foraging","Not-foraging"
2,"Sandwich",36054,"Not-foraging","Foraging"
2,"Sandwich",36054,"Foraging","Foraging"
2,"Sandwich",36054,"Not-foraging","Foraging"
2,"Sandwich",36054,"Foraging","Foraging"
2,"Sandwich",36055,"Not-foraging","Foraging"
2,"Sandwich",36056,"Not-foraging","Foraging"
2,"Sandwich",36057,"Not-foraging","Foraging"
2,"Sandwich",36058,"Not-foraging","Foraging"
2,"Sandwich",36059,"Not-foraging","Foraging"
2,"Sandwich",36060,"Foraging","Foraging"
