"COLONY","ID","SPECIES","TSECS","observedState","decodedState"
"Glas Eileanan",2,"C",39615,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39616,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39617,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39618,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39619,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39620,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39621,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39622,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39623,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39624,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39625,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39626,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39627,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39628,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39629,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39630,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39631,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39632,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39633,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39634,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39635,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39636,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39637,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39638,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39639,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39640,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39641,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39642,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39643,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39644,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39645,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39646,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39647,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39648,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39649,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39650,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39651,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39652,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39653,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39654,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39655,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39656,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39657,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39658,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39659,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39660,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39661,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39662,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39663,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39664,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39665,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39666,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39667,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39668,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39669,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39670,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39671,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39672,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39673,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39674,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39675,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39676,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39677,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39678,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39679,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39680,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39681,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39682,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39683,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39684,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39685,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39686,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39687,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39688,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39689,"Not-foraging","Not-foraging"
