"ID","TSECS","observedState","decodedState"
1,51143,"Not-foraging","Foraging"
1,51144,"Not-foraging","Foraging"
1,51145,"Not-foraging","Foraging"
1,51146,"Not-foraging","Foraging"
1,51147,"Not-foraging","Not-foraging"
1,51148,"Not-foraging","Not-foraging"
1,51149,"Not-foraging","Not-foraging"
1,51150,"Not-foraging","Not-foraging"
1,51151,"Not-foraging","Not-foraging"
1,51152,"Not-foraging","Not-foraging"
1,51153,"Not-foraging","Not-foraging"
1,51154,"Not-foraging","Not-foraging"
1,51155,"Not-foraging","Not-foraging"
1,51156,"Not-foraging","Not-foraging"
1,51157,"Not-foraging","Not-foraging"
1,51158,"Not-foraging","Not-foraging"
1,51159,"Not-foraging","Not-foraging"
1,51160,"Not-foraging","Not-foraging"
1,51161,"Not-foraging","Not-foraging"
1,51162,"Not-foraging","Not-foraging"
1,51163,"Not-foraging","Not-foraging"
1,51164,"Not-foraging","Not-foraging"
1,51165,"Not-foraging","Not-foraging"
1,51166,"Not-foraging","Not-foraging"
1,51167,"Not-foraging","Not-foraging"
1,51168,"Not-foraging","Not-foraging"
1,51169,"Not-foraging","Not-foraging"
1,51170,"Not-foraging","Not-foraging"
1,51171,"Not-foraging","Not-foraging"
1,51172,"Not-foraging","Not-foraging"
1,51173,"Not-foraging","Not-foraging"
1,51174,"Not-foraging","Not-foraging"
1,51175,"Not-foraging","Not-foraging"
1,51176,"Not-foraging","Not-foraging"
1,51177,"Not-foraging","Not-foraging"
1,51178,"Not-foraging","Not-foraging"
1,51179,"Not-foraging","Not-foraging"
1,51180,"Not-foraging","Not-foraging"
1,51181,"Not-foraging","Not-foraging"
1,51182,"Not-foraging","Not-foraging"
1,51183,"Not-foraging","Not-foraging"
1,51184,"Not-foraging","Not-foraging"
1,51185,"Not-foraging","Not-foraging"
1,51186,"Not-foraging","Not-foraging"
1,51187,"Not-foraging","Not-foraging"
1,51188,"Not-foraging","Not-foraging"
1,51189,"Not-foraging","Not-foraging"
1,51190,"Not-foraging","Not-foraging"
1,51191,"Not-foraging","Not-foraging"
1,51192,"Not-foraging","Not-foraging"
1,51193,"Not-foraging","Not-foraging"
1,51194,"Not-foraging","Not-foraging"
1,51195,"Not-foraging","Not-foraging"
1,51196,"Not-foraging","Not-foraging"
1,51197,"Not-foraging","Not-foraging"
1,51198,"Not-foraging","Not-foraging"
1,51199,"Not-foraging","Not-foraging"
1,51200,"Not-foraging","Not-foraging"
1,51201,"Not-foraging","Not-foraging"
1,51202,"Not-foraging","Not-foraging"
1,51203,"Not-foraging","Not-foraging"
1,51204,"Not-foraging","Not-foraging"
1,51205,"Not-foraging","Not-foraging"
1,51206,"Not-foraging","Not-foraging"
1,51207,"Not-foraging","Not-foraging"
1,51208,"Not-foraging","Not-foraging"
1,51209,"Not-foraging","Not-foraging"
1,51210,"Not-foraging","Not-foraging"
1,51211,"Not-foraging","Not-foraging"
1,51212,"Not-foraging","Not-foraging"
1,51213,"Not-foraging","Not-foraging"
1,51214,"Not-foraging","Not-foraging"
1,51215,"Not-foraging","Not-foraging"
1,51216,"Not-foraging","Not-foraging"
1,51217,"Not-foraging","Not-foraging"
1,51218,"Not-foraging","Not-foraging"
1,51219,"Not-foraging","Not-foraging"
1,51220,"Not-foraging","Not-foraging"
1,51221,"Not-foraging","Not-foraging"
1,51222,"Not-foraging","Not-foraging"
1,51223,"Not-foraging","Not-foraging"
1,51224,"Not-foraging","Not-foraging"
1,51225,"Not-foraging","Not-foraging"
1,51226,"Not-foraging","Not-foraging"
1,51227,"Not-foraging","Not-foraging"
1,51228,"Not-foraging","Not-foraging"
1,51229,"Not-foraging","Not-foraging"
1,51230,"Not-foraging","Not-foraging"
1,51231,"Not-foraging","Not-foraging"
1,51232,"Not-foraging","Not-foraging"
1,51233,"Not-foraging","Not-foraging"
1,51234,"Not-foraging","Not-foraging"
1,51235,"Not-foraging","Not-foraging"
1,51236,"Not-foraging","Not-foraging"
1,51237,"Not-foraging","Not-foraging"
1,51238,"Not-foraging","Not-foraging"
1,51239,"Not-foraging","Not-foraging"
1,51240,"Not-foraging","Not-foraging"
1,51241,"Not-foraging","Not-foraging"
1,51242,"Not-foraging","Not-foraging"
1,51243,"Not-foraging","Not-foraging"
1,51244,"Not-foraging","Not-foraging"
1,51245,"Not-foraging","Not-foraging"
1,51246,"Not-foraging","Not-foraging"
1,51247,"Not-foraging","Not-foraging"
1,51248,"Not-foraging","Not-foraging"
1,51249,"Not-foraging","Not-foraging"
1,51250,"Not-foraging","Not-foraging"
1,51251,"Not-foraging","Not-foraging"
1,51252,"Not-foraging","Not-foraging"
1,51253,"Not-foraging","Not-foraging"
1,51254,"Not-foraging","Not-foraging"
1,51255,"Not-foraging","Not-foraging"
1,51256,"Not-foraging","Not-foraging"
1,51257,"Not-foraging","Not-foraging"
1,51258,"Not-foraging","Not-foraging"
1,51259,"Not-foraging","Not-foraging"
1,51260,"Not-foraging","Not-foraging"
1,51261,"Not-foraging","Not-foraging"
1,51262,"Not-foraging","Not-foraging"
1,51263,"Not-foraging","Not-foraging"
1,51264,"Not-foraging","Not-foraging"
1,51265,"Not-foraging","Not-foraging"
1,51266,"Not-foraging","Not-foraging"
1,51267,"Not-foraging","Not-foraging"
1,51268,"Not-foraging","Not-foraging"
1,51269,"Not-foraging","Not-foraging"
1,51270,"Not-foraging","Not-foraging"
1,51271,"Not-foraging","Not-foraging"
1,51272,"Not-foraging","Not-foraging"
1,51273,"Not-foraging","Not-foraging"
1,51274,"Not-foraging","Not-foraging"
1,51275,"Not-foraging","Not-foraging"
1,51276,"Not-foraging","Not-foraging"
1,51277,"Not-foraging","Not-foraging"
1,51278,"Not-foraging","Not-foraging"
1,51279,"Not-foraging","Not-foraging"
1,51280,"Not-foraging","Not-foraging"
1,51281,"Not-foraging","Not-foraging"
1,51282,"Not-foraging","Not-foraging"
1,51283,"Not-foraging","Not-foraging"
1,51284,"Not-foraging","Not-foraging"
1,51285,"Not-foraging","Not-foraging"
1,51286,"Not-foraging","Not-foraging"
1,51287,"Not-foraging","Not-foraging"
1,51288,"Not-foraging","Not-foraging"
1,51289,"Not-foraging","Not-foraging"
1,51290,"Not-foraging","Not-foraging"
1,51291,"Not-foraging","Not-foraging"
1,51292,"Not-foraging","Not-foraging"
1,51293,"Not-foraging","Not-foraging"
1,51294,"Not-foraging","Not-foraging"
1,51295,"Not-foraging","Not-foraging"
1,51296,"Not-foraging","Not-foraging"
1,51297,"Not-foraging","Not-foraging"
1,51298,"Not-foraging","Not-foraging"
1,51299,"Not-foraging","Not-foraging"
1,51300,"Not-foraging","Not-foraging"
1,51301,"Not-foraging","Not-foraging"
1,51302,"Not-foraging","Not-foraging"
1,51303,"Not-foraging","Not-foraging"
1,51304,"Not-foraging","Not-foraging"
1,51305,"Not-foraging","Not-foraging"
1,51306,"Not-foraging","Not-foraging"
1,51307,"Not-foraging","Not-foraging"
1,51308,"Not-foraging","Not-foraging"
1,51309,"Not-foraging","Not-foraging"
1,51310,"Not-foraging","Not-foraging"
1,51311,"Not-foraging","Not-foraging"
1,51312,"Not-foraging","Not-foraging"
1,51313,"Not-foraging","Not-foraging"
1,51314,"Not-foraging","Not-foraging"
1,51315,"Not-foraging","Not-foraging"
1,51316,"Not-foraging","Not-foraging"
1,51317,"Not-foraging","Not-foraging"
1,51318,"Not-foraging","Not-foraging"
1,51319,"Not-foraging","Not-foraging"
1,51320,"Not-foraging","Not-foraging"
1,51321,"Not-foraging","Not-foraging"
1,51322,"Not-foraging","Not-foraging"
1,51323,"Not-foraging","Not-foraging"
1,51324,"Not-foraging","Not-foraging"
1,51325,"Not-foraging","Not-foraging"
1,51326,"Not-foraging","Not-foraging"
1,51327,"Not-foraging","Not-foraging"
1,51328,"Not-foraging","Not-foraging"
1,51329,"Not-foraging","Not-foraging"
1,51330,"Not-foraging","Not-foraging"
1,51331,"Not-foraging","Not-foraging"
1,51332,"Not-foraging","Not-foraging"
1,51333,"Not-foraging","Not-foraging"
1,51334,"Not-foraging","Not-foraging"
1,51335,"Not-foraging","Not-foraging"
1,51336,"Not-foraging","Not-foraging"
1,51337,"Not-foraging","Not-foraging"
1,51338,"Not-foraging","Not-foraging"
1,51339,"Not-foraging","Not-foraging"
1,51340,"Not-foraging","Not-foraging"
1,51341,"Not-foraging","Not-foraging"
1,51342,"Not-foraging","Not-foraging"
1,51343,"Not-foraging","Not-foraging"
1,51344,"Not-foraging","Not-foraging"
1,51345,"Not-foraging","Not-foraging"
1,51346,"Not-foraging","Not-foraging"
1,51347,"Not-foraging","Not-foraging"
1,51348,"Not-foraging","Not-foraging"
1,51349,"Not-foraging","Not-foraging"
1,51350,"Not-foraging","Not-foraging"
1,51351,"Not-foraging","Not-foraging"
1,51352,"Not-foraging","Not-foraging"
1,51353,"Not-foraging","Not-foraging"
1,51354,"Not-foraging","Not-foraging"
1,51355,"Not-foraging","Not-foraging"
1,51356,"Not-foraging","Not-foraging"
1,51357,"Not-foraging","Not-foraging"
1,51358,"Not-foraging","Not-foraging"
1,51359,"Not-foraging","Not-foraging"
1,51360,"Not-foraging","Not-foraging"
1,51361,"Not-foraging","Not-foraging"
1,51362,"Not-foraging","Not-foraging"
1,51363,"Not-foraging","Not-foraging"
1,51364,"Not-foraging","Not-foraging"
1,51365,"Not-foraging","Not-foraging"
1,51366,"Not-foraging","Not-foraging"
1,51367,"Not-foraging","Not-foraging"
1,51368,"Not-foraging","Not-foraging"
1,51369,"Not-foraging","Not-foraging"
1,51370,"Not-foraging","Not-foraging"
1,51371,"Not-foraging","Not-foraging"
1,51372,"Not-foraging","Not-foraging"
1,51373,"Not-foraging","Not-foraging"
1,51374,"Not-foraging","Not-foraging"
1,51375,"Not-foraging","Not-foraging"
1,51376,"Not-foraging","Not-foraging"
1,51377,"Not-foraging","Not-foraging"
1,51378,"Not-foraging","Not-foraging"
1,51379,"Not-foraging","Not-foraging"
1,51380,"Not-foraging","Not-foraging"
1,51381,"Not-foraging","Not-foraging"
1,51382,"Not-foraging","Not-foraging"
1,51383,"Not-foraging","Not-foraging"
1,51384,"Not-foraging","Not-foraging"
1,51385,"Not-foraging","Not-foraging"
1,51386,"Not-foraging","Not-foraging"
1,51387,"Not-foraging","Not-foraging"
1,51388,"Not-foraging","Not-foraging"
1,51389,"Not-foraging","Not-foraging"
1,51390,"Not-foraging","Not-foraging"
1,51391,"Not-foraging","Not-foraging"
1,51392,"Not-foraging","Not-foraging"
1,51393,"Not-foraging","Not-foraging"
1,51394,"Not-foraging","Not-foraging"
1,51395,"Not-foraging","Not-foraging"
1,51396,"Not-foraging","Not-foraging"
1,51397,"Not-foraging","Not-foraging"
1,51398,"Not-foraging","Not-foraging"
1,51399,"Not-foraging","Not-foraging"
1,51400,"Not-foraging","Not-foraging"
1,51401,"Not-foraging","Not-foraging"
1,51402,"Not-foraging","Not-foraging"
1,51403,"Not-foraging","Not-foraging"
1,51404,"Not-foraging","Not-foraging"
1,51405,"Not-foraging","Not-foraging"
1,51406,"Not-foraging","Not-foraging"
1,51407,"Not-foraging","Not-foraging"
1,51408,"Not-foraging","Not-foraging"
1,51409,"Not-foraging","Not-foraging"
1,51410,"Not-foraging","Not-foraging"
1,51411,"Not-foraging","Not-foraging"
1,51412,"Not-foraging","Not-foraging"
1,51413,"Not-foraging","Not-foraging"
1,51414,"Not-foraging","Not-foraging"
1,51415,"Not-foraging","Not-foraging"
1,51416,"Not-foraging","Not-foraging"
1,51417,"Not-foraging","Not-foraging"
1,51418,"Not-foraging","Not-foraging"
1,51419,"Not-foraging","Not-foraging"
1,51420,"Not-foraging","Not-foraging"
1,51421,"Not-foraging","Not-foraging"
1,51422,"Not-foraging","Not-foraging"
1,51423,"Not-foraging","Not-foraging"
1,51424,"Not-foraging","Not-foraging"
1,51425,"Not-foraging","Not-foraging"
1,51426,"Not-foraging","Not-foraging"
1,51427,"Not-foraging","Not-foraging"
1,51428,"Not-foraging","Not-foraging"
1,51429,"Not-foraging","Not-foraging"
1,51430,"Not-foraging","Not-foraging"
1,51431,"Not-foraging","Not-foraging"
1,51432,"Not-foraging","Not-foraging"
1,51433,"Not-foraging","Not-foraging"
1,51434,"Not-foraging","Not-foraging"
1,51435,"Not-foraging","Not-foraging"
1,51436,"Not-foraging","Not-foraging"
1,51437,"Not-foraging","Not-foraging"
1,51438,"Not-foraging","Not-foraging"
1,51439,"Not-foraging","Not-foraging"
1,51440,"Not-foraging","Not-foraging"
1,51441,"Not-foraging","Not-foraging"
1,51442,"Not-foraging","Not-foraging"
1,51443,"Not-foraging","Not-foraging"
1,51444,"Not-foraging","Not-foraging"
1,51445,"Not-foraging","Not-foraging"
1,51446,"Not-foraging","Not-foraging"
1,51447,"Not-foraging","Not-foraging"
1,51448,"Not-foraging","Not-foraging"
1,51449,"Not-foraging","Not-foraging"
1,51450,"Not-foraging","Not-foraging"
1,51451,"Not-foraging","Not-foraging"
1,51452,"Not-foraging","Not-foraging"
1,51453,"Not-foraging","Not-foraging"
1,51454,"Not-foraging","Not-foraging"
1,51455,"Not-foraging","Not-foraging"
1,51456,"Not-foraging","Not-foraging"
1,51457,"Not-foraging","Not-foraging"
1,51458,"Not-foraging","Not-foraging"
1,51459,"Not-foraging","Not-foraging"
1,51460,"Not-foraging","Not-foraging"
1,51461,"Not-foraging","Not-foraging"
1,51462,"Not-foraging","Not-foraging"
1,51463,"Not-foraging","Not-foraging"
1,51464,"Not-foraging","Not-foraging"
1,51465,"Not-foraging","Not-foraging"
1,51466,"Not-foraging","Not-foraging"
1,51467,"Not-foraging","Not-foraging"
1,51468,"Not-foraging","Not-foraging"
1,51469,"Not-foraging","Not-foraging"
1,51470,"Not-foraging","Not-foraging"
1,51471,"Not-foraging","Not-foraging"
1,51472,"Not-foraging","Not-foraging"
1,51473,"Not-foraging","Not-foraging"
1,51474,"Not-foraging","Not-foraging"
1,51475,"Not-foraging","Not-foraging"
1,51476,"Not-foraging","Not-foraging"
1,51477,"Not-foraging","Not-foraging"
1,51478,"Not-foraging","Not-foraging"
1,51479,"Not-foraging","Not-foraging"
1,51480,"Not-foraging","Not-foraging"
1,51481,"Not-foraging","Not-foraging"
1,51482,"Not-foraging","Not-foraging"
1,51483,"Not-foraging","Not-foraging"
1,51484,"Not-foraging","Not-foraging"
1,51485,"Not-foraging","Not-foraging"
1,51486,"Not-foraging","Not-foraging"
1,51487,"Not-foraging","Not-foraging"
1,51488,"Not-foraging","Not-foraging"
1,51489,"Not-foraging","Not-foraging"
1,51490,"Not-foraging","Not-foraging"
1,51491,"Not-foraging","Not-foraging"
1,51492,"Not-foraging","Not-foraging"
1,51493,"Not-foraging","Not-foraging"
1,51494,"Not-foraging","Not-foraging"
1,51495,"Not-foraging","Not-foraging"
1,51496,"Not-foraging","Not-foraging"
1,51497,"Not-foraging","Not-foraging"
1,51498,"Not-foraging","Not-foraging"
1,51499,"Not-foraging","Not-foraging"
1,51500,"Not-foraging","Not-foraging"
1,51501,"Not-foraging","Not-foraging"
1,51502,"Not-foraging","Not-foraging"
1,51503,"Not-foraging","Not-foraging"
1,51504,"Not-foraging","Not-foraging"
1,51505,"Not-foraging","Not-foraging"
1,51506,"Not-foraging","Not-foraging"
1,51507,"Not-foraging","Not-foraging"
1,51508,"Not-foraging","Not-foraging"
1,51509,"Not-foraging","Not-foraging"
1,51510,"Not-foraging","Not-foraging"
1,51511,"Not-foraging","Not-foraging"
1,51512,"Not-foraging","Not-foraging"
1,51513,"Not-foraging","Not-foraging"
1,51514,"Not-foraging","Not-foraging"
1,51515,"Not-foraging","Not-foraging"
1,51516,"Not-foraging","Not-foraging"
1,51517,"Not-foraging","Not-foraging"
1,51518,"Not-foraging","Not-foraging"
1,51519,"Not-foraging","Not-foraging"
1,51520,"Not-foraging","Not-foraging"
1,51521,"Not-foraging","Not-foraging"
1,51522,"Not-foraging","Not-foraging"
1,51523,"Not-foraging","Not-foraging"
1,51524,"Not-foraging","Not-foraging"
1,51525,"Not-foraging","Not-foraging"
1,51526,"Not-foraging","Not-foraging"
1,51527,"Not-foraging","Not-foraging"
1,51528,"Not-foraging","Not-foraging"
1,51529,"Not-foraging","Not-foraging"
1,51530,"Not-foraging","Not-foraging"
