"COLONY","DATE_","ID","SPECIES","TSECS","LATITUDE","LONGITUDE","CONTBEH","observed_state","DISTKM","DIST_COL_K","STAGE","COMPLETE"
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36618,54.82438,-5.77037,"DF","Travelling",0,0.28409,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36619,54.82438,-5.77037,"DF","Travelling",0,0.28409,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36620,54.82438,-5.77037,"DF","Travelling",0,0.28409,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36621,54.82438,-5.77037,"DF","Travelling",0,0.28409,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36622,54.82438,-5.77037,"DF","Travelling",0,0.28409,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36623,54.82438,-5.77037,"DF","Travelling",0.01506,0.28409,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36624,54.82451,-5.77045,"DF","Travelling",0.01506,0.2975,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36625,54.82464,-5.77053,"DF","Travelling",0.01506,0.31107,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36626,54.82476,-5.77062,"DF","Travelling",0.01506,0.32478,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36627,54.82489,-5.7707,"DF","Travelling",0.01506,0.3386,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36628,54.82502,-5.77078,"DF","Travelling",0.01726,0.35252,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36629,54.82516,-5.77089,"DF","Travelling",0.01726,0.36878,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36630,54.8253,-5.77099,"DF","Travelling",0.01726,0.38512,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36631,54.82545,-5.77109,"DF","Travelling",0.01726,0.40155,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36632,54.82559,-5.7712,"DF","Travelling",0.01726,0.41804,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36633,54.82573,-5.7713,"DF","Travelling",0.01775,0.4346,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36634,54.82587,-5.77143,"DF","Travelling",0.01775,0.45212,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36635,54.82601,-5.77157,"DF","Travelling",0.01775,0.46966,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36636,54.82615,-5.7717,"DF","Travelling",0.01775,0.48722,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36637,54.82629,-5.77183,"DF","Travelling",0.01775,0.50479,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36638,54.82643,-5.77197,"DF","Travelling",0.01735,0.52238,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36639,54.82656,-5.77212,"DF","Travelling",0.01735,0.53974,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36640,54.82669,-5.77227,"DF","Travelling",0.01735,0.5571,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36641,54.82682,-5.77242,"DF","Travelling",0.01735,0.57447,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36642,54.82695,-5.77257,"DF","Travelling",0.01735,0.59183,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36643,54.82708,-5.77272,"DF","Travelling",0.01633,0.6092,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36644,54.82722,-5.77281,"DF","Travelling",0.01633,0.625,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36645,54.82736,-5.7729,"DF","Travelling",0.01633,0.64082,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36646,54.82749,-5.773,"DF","Travelling",0.01633,0.65667,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36647,54.82763,-5.77309,"DF","Travelling",0.01633,0.67255,"Incubation",0
