"COLONY","DATE_","ID","SPECIES","TSECS","LATITUDE","LONGITUDE","CONTBEH","observed_state","DISTKM","DIST_COL_K","STAGE","COMPLETE"
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37201,54.67973,-5.6194,"Bathing","Travelling",0,0.20257,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37202,54.67973,-5.6194,"Bathing","Travelling",0,0.20257,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37203,54.67973,-5.6194,"Bathing","Travelling",0,0.20257,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37204,54.67973,-5.6194,"Bathing","Travelling",0,0.20257,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37205,54.67973,-5.6194,"Bathing","Travelling",0,0.20257,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37206,54.67973,-5.6194,"Bathing","Travelling",0,0.20257,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37207,54.67973,-5.6194,"Bathing","Travelling",0,0.20257,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37208,54.67973,-5.6194,"Bathing","Travelling",0.00043,0.20257,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37209,54.67974,-5.6194,"Bathing","Travelling",0.00043,0.20295,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37210,54.67974,-5.61941,"Bathing","Travelling",0.00043,0.20334,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37211,54.67974,-5.61941,"Bathing","Travelling",0.00043,0.20372,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37212,54.67975,-5.61941,"Bathing","Travelling",0.00043,0.2041,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37213,54.67975,-5.61942,"Bathing","Travelling",0.00077,0.20448,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37214,54.67976,-5.61941,"Bathing","Travelling",0.00077,0.20471,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37215,54.67976,-5.61941,"Bathing","Travelling",0.00077,0.20494,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37216,54.67977,-5.61941,"Bathing","Travelling",0.00077,0.20517,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37217,54.67978,-5.6194,"Bathing","Travelling",0.00077,0.20541,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37218,54.67978,-5.6194,"Bathing","Travelling",0.00196,0.20564,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37219,54.6798,-5.61939,"Bathing","Travelling",0.00196,0.20616,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37220,54.67982,-5.61938,"Bathing","Travelling",0.00196,0.20669,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37221,54.67983,-5.61937,"Bathing","Travelling",0.00196,0.20724,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37222,54.67985,-5.61936,"Bathing","Travelling",0.00196,0.20781,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37223,54.67987,-5.61935,"Bathing","Travelling",0.00223,0.20839,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37224,54.67989,-5.61935,"Bathing","Travelling",0.00223,0.2099,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37225,54.67991,-5.61936,"Bathing","Travelling",0.00223,0.21143,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37226,54.67993,-5.61936,"Bathing","Travelling",0.00223,0.21296,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37227,54.67995,-5.61936,"Bathing","Travelling",0.00223,0.21451,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37228,54.67997,-5.61937,"Bathing","Travelling",0.00223,0.21607,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37229,54.67999,-5.61936,"Bathing","Travelling",0.00223,0.21731,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37230,54.68001,-5.61936,"Bathing","Travelling",0.00223,0.21857,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37231,54.68003,-5.61936,"Bathing","Travelling",0.00223,0.21984,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37232,54.68005,-5.61935,"Bathing","Travelling",0.00223,0.22113,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37233,54.68007,-5.61935,"Bathing","Travelling",0.00238,0.22243,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37234,54.68009,-5.61934,"Bathing","Travelling",0.00238,0.22327,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37235,54.68011,-5.61932,"Bathing","Travelling",0.00238,0.22413,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37236,54.68013,-5.61931,"Bathing","Travelling",0.00238,0.22501,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37237,54.68015,-5.6193,"Bathing","Travelling",0.00238,0.22591,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37238,54.68017,-5.61928,"Bathing","Travelling",0.00315,0.22683,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37239,54.68019,-5.61927,"Bathing","Travelling",0.00315,0.22815,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37240,54.68022,-5.61925,"Bathing","Travelling",0.00315,0.2295,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37241,54.68025,-5.61923,"Bathing","Travelling",0.00315,0.23089,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37242,54.68027,-5.61922,"Bathing","Travelling",0.00315,0.23231,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37243,54.6803,-5.6192,"Bathing","Travelling",0.00281,0.23376,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37244,54.68032,-5.61917,"Bathing","Travelling",0.00281,0.23427,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37245,54.68034,-5.61915,"Bathing","Travelling",0.00281,0.23481,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37246,54.68036,-5.61912,"Bathing","Travelling",0.00281,0.23538,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37247,54.68038,-5.61909,"Bathing","Travelling",0.00281,0.23598,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37248,54.6804,-5.61907,"Bathing","Travelling",0.00252,0.23662,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37249,54.68042,-5.61904,"Bathing","Travelling",0.00252,0.23699,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37250,54.68043,-5.61901,"Bathing","Travelling",0.00252,0.23739,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37251,54.68045,-5.61899,"Bathing","Travelling",0.00252,0.23782,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37252,54.68047,-5.61896,"Bathing","Travelling",0.00252,0.23827,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37253,54.68048,-5.61893,"Bathing","Travelling",0.00204,0.23875,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37254,54.68049,-5.61891,"Bathing","Travelling",0.00204,0.23866,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37255,54.6805,-5.61888,"Bathing","Travelling",0.00204,0.23857,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37256,54.68051,-5.61885,"Bathing","Travelling",0.00204,0.23851,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37257,54.68052,-5.61883,"Bathing","Travelling",0.00204,0.23846,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37258,54.68053,-5.6188,"Bathing","Travelling",0.00187,0.23843,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37259,54.68054,-5.61878,"Bathing","Travelling",0.00187,0.23854,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37260,54.68055,-5.61875,"Bathing","Travelling",0.00187,0.23866,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37261,54.68056,-5.61873,"Bathing","Travelling",0.00187,0.23879,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37262,54.68057,-5.61871,"Bathing","Travelling",0.00187,0.23894,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37263,54.68058,-5.61868,"Bathing","Travelling",0.00223,0.23911,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37264,54.68059,-5.61865,"Bathing","Travelling",0.00223,0.23907,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37265,54.6806,-5.61862,"Bathing","Travelling",0.00223,0.23905,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37266,54.68061,-5.61859,"Bathing","Travelling",0.00223,0.23905,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37267,54.68062,-5.61856,"Bathing","Travelling",0.00223,0.23907,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37268,54.68063,-5.61853,"Bathing","Travelling",0,0.23911,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37269,54.68066,-5.61849,"DF","Travelling",0.00397,0.23998,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37270,54.68068,-5.61844,"DF","Travelling",0.00397,0.24092,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37271,54.6807,-5.61839,"DF","Travelling",0.00397,0.24192,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37272,54.68073,-5.61835,"DF","Travelling",0.00397,0.24298,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37273,54.68075,-5.6183,"DF","Travelling",0.00953,0.2441,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37274,54.68082,-5.61822,"DF","Travelling",0.00953,0.24967,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37275,54.6809,-5.61815,"DF","Travelling",0.00953,0.25548,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37276,54.68097,-5.61807,"DF","Travelling",0.00953,0.2615,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37277,54.68104,-5.61799,"DF","Travelling",0.00953,0.26773,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37278,54.68112,-5.61792,"DF","Travelling",0.01125,0.27415,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37279,54.68121,-5.61784,"DF","Travelling",0.01125,0.2825,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37280,54.6813,-5.61776,"DF","Travelling",0.01125,0.29104,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37281,54.68139,-5.61768,"DF","Travelling",0.01125,0.29976,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37282,54.68148,-5.6176,"DF","Travelling",0.01125,0.30865,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37283,54.68157,-5.61752,"DF","Travelling",0.01319,0.31769,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37284,54.68167,-5.61743,"DF","Travelling",0.01319,0.32862,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37285,54.68178,-5.61734,"DF","Travelling",0.01319,0.33972,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37286,54.68189,-5.61725,"DF","Travelling",0.01319,0.35096,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37287,54.68199,-5.61716,"DF","Travelling",0.01319,0.36233,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37288,54.6821,-5.61707,"DF","Travelling",0.01457,0.37383,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37289,54.68222,-5.61699,"DF","Travelling",0.01457,0.38732,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37290,54.68235,-5.61691,"DF","Travelling",0.01457,0.4009,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37291,54.68247,-5.61684,"DF","Travelling",0.01457,0.41454,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37292,54.68259,-5.61676,"DF","Travelling",0.01457,0.42824,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37293,54.68272,-5.61668,"DF","Travelling",0.01347,0.442,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37294,54.68283,-5.61663,"DF","Travelling",0.01347,0.45504,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37295,54.68295,-5.61657,"DF","Travelling",0.01347,0.46811,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37296,54.68307,-5.61651,"DF","Travelling",0.01347,0.48121,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37297,54.68318,-5.61646,"DF","Travelling",0.01347,0.49432,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37298,54.6833,-5.6164,"DF","Travelling",0.01218,0.50745,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37299,54.68341,-5.61636,"DF","Travelling",0.01218,0.51945,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37300,54.68351,-5.61631,"DF","Travelling",0.01218,0.53146,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37301,54.68362,-5.61627,"DF","Travelling",0.01218,0.54347,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37302,54.68373,-5.61623,"DF","Travelling",0.01218,0.55549,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37303,54.68383,-5.61618,"DF","Travelling",0.01146,0.56752,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37304,54.68393,-5.61614,"DF","Travelling",0.01146,0.57882,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37305,54.68403,-5.6161,"DF","Travelling",0.01146,0.59013,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37306,54.68413,-5.61605,"DF","Travelling",0.01146,0.60144,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37307,54.68423,-5.61601,"DF","Travelling",0.01146,0.61275,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37308,54.68433,-5.61597,"DF","Travelling",0.01051,0.62408,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37309,54.68442,-5.61592,"DF","Travelling",0.01051,0.63433,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37310,54.68451,-5.61587,"DF","Travelling",0.01051,0.6446,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37311,54.6846,-5.61582,"DF","Travelling",0.01051,0.65487,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37312,54.68469,-5.61577,"DF","Travelling",0.01051,0.66515,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37313,54.68478,-5.61572,"DF","Travelling",0.01046,0.67544,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37314,54.68487,-5.61565,"DF","Travelling",0.01046,0.68546,"Incubation",0
"Cockle Island, Groomsport","2010-06-16",8,"Sandwich",37315,54.68496,-5.61559,"DF","Travelling",0.01046,0.69548,"Incubation",0
