"DATE","ID","SPECIES","TSECS","LATITUDE","LONGITUDE","CONTBEH","observed_state","DISTKM","DIST2COL_km"
"2010-06-01",1,"Arctic tern",55440,56.18415,-2.548,"TS","Travelling",0,0.46744
"2010-06-01",1,"Arctic tern",55441,56.18415,-2.548,"TS","Travelling",0.00062,0.46744
"2010-06-01",1,"Arctic tern",55442,56.18415,-2.54801,"TS","Travelling",0.00062,0.46693
"2010-06-01",1,"Arctic tern",55443,56.18415,-2.54802,"TS","Travelling",0.00062,0.46643
"2010-06-01",1,"Arctic tern",55444,56.18415,-2.54803,"TS","Travelling",0.00062,0.46592
"2010-06-01",1,"Arctic tern",55445,56.18415,-2.54804,"TS","Travelling",0.00062,0.46542
"2010-06-01",1,"Arctic tern",55446,56.18415,-2.54805,"TS","Travelling",0.00072,0.46491
"2010-06-01",1,"Arctic tern",55447,56.18415,-2.54806,"TS","Travelling",0.00072,0.46463
"2010-06-01",1,"Arctic tern",55448,56.18414,-2.54807,"TS","Travelling",0.00072,0.46434
"2010-06-01",1,"Arctic tern",55449,56.18414,-2.54808,"TS","Travelling",0.00072,0.46406
"2010-06-01",1,"Arctic tern",55450,56.18414,-2.54809,"TS","Travelling",0.00072,0.46377
"2010-06-01",1,"Arctic tern",55451,56.18413,-2.5481,"TS","Travelling",0.00055,0.46349
"2010-06-01",1,"Arctic tern",55452,56.18413,-2.54811,"TS","Travelling",0.00055,0.46337
"2010-06-01",1,"Arctic tern",55453,56.18413,-2.54811,"TS","Travelling",0.00055,0.46326
"2010-06-01",1,"Arctic tern",55454,56.18412,-2.54812,"TS","Travelling",0.00055,0.46314
"2010-06-01",1,"Arctic tern",55455,56.18412,-2.54813,"TS","Travelling",0.00055,0.46303
"2010-06-01",1,"Arctic tern",55456,56.18412,-2.54813,"TS","Travelling",0.00042,0.46292
"2010-06-01",1,"Arctic tern",55457,56.18412,-2.54813,"TS","Travelling",0.00042,0.46286
"2010-06-01",1,"Arctic tern",55458,56.18412,-2.54813,"TS","Travelling",0.00042,0.46281
"2010-06-01",1,"Arctic tern",55459,56.18413,-2.54812,"TS","Travelling",0.00042,0.46276
"2010-06-01",1,"Arctic tern",55460,56.18413,-2.54812,"TS","Travelling",0.00042,0.4627
"2010-06-01",1,"Arctic tern",55461,56.18413,-2.54812,"TS","Travelling",0.00521,0.46265
"2010-06-01",1,"Arctic tern",55462,56.18414,-2.54803,"TS","Travelling",0.00521,0.4664
"2010-06-01",1,"Arctic tern",55463,56.18415,-2.54795,"TS","Travelling",0.00521,0.47018
"2010-06-01",1,"Arctic tern",55464,56.18415,-2.54787,"TS","Travelling",0.00521,0.47399
"2010-06-01",1,"Arctic tern",55465,56.18416,-2.54778,"TS","Travelling",0.00521,0.47783
"2010-06-01",1,"Arctic tern",55466,56.18417,-2.5477,"TS","Travelling",0.00975,0.48169
"2010-06-01",1,"Arctic tern",55467,56.18421,-2.54757,"TS","Travelling",0.00975,0.48573
"2010-06-01",1,"Arctic tern",55468,56.18426,-2.54743,"TS","Travelling",0.00975,0.48993
"2010-06-01",1,"Arctic tern",55469,56.18431,-2.5473,"TS","Travelling",0.00975,0.49429
