"COLONY","DATE_","ID","SPECIES","TSECS","LATITUDE","LONGITUDE","CONTBEH","observed_state","DISTKM","DIST_COL_K","STAGE","COMPLETE"
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50047,54.82432,-5.77177,"DF","Travelling",0,0.35284,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50048,54.82432,-5.77177,"DF","Travelling",0,0.35284,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50049,54.82432,-5.77177,"DF","Travelling",0,0.35284,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50050,54.82432,-5.77177,"DF","Travelling",0,0.35284,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50051,54.82432,-5.77177,"DF","Travelling",0,0.35284,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50052,54.82432,-5.77177,"DF","Travelling",0.01371,0.35284,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50053,54.82444,-5.77176,"DF","Travelling",0.01371,0.35986,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50054,54.82456,-5.77176,"DF","Travelling",0.01371,0.36726,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50055,54.82469,-5.77176,"DF","Travelling",0.01371,0.37502,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50056,54.82481,-5.77175,"DF","Travelling",0.01371,0.38311,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50057,54.82493,-5.77175,"DF","Travelling",0.01706,0.39152,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50058,54.82509,-5.77174,"DF","Travelling",0.01706,0.4021,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50059,54.82524,-5.77173,"DF","Travelling",0.01706,0.41312,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50060,54.82539,-5.77172,"DF","Travelling",0.01706,0.42453,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50061,54.82555,-5.77171,"DF","Travelling",0.01706,0.43632,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50062,54.8257,-5.7717,"DF","Travelling",0.01781,0.44845,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50063,54.82586,-5.77169,"DF","Travelling",0.01781,0.46132,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50064,54.82602,-5.77167,"DF","Travelling",0.01781,0.47451,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50065,54.82618,-5.77166,"DF","Travelling",0.01781,0.488,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50066,54.82634,-5.77165,"DF","Travelling",0.01781,0.50176,"Chick",1
