"DATE","ID","TSECS_GMT","LATITUDE","LONGITUDE","SPECIES","Continuous","DIST2COL","Observed_2State","Observed_3State","Observed_StateTw"
"2009-06-09",6,46059,53.41293,-4.51018,"A","DF",325.67128,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46060,53.41293,-4.5102,"A","DF",326.33399,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46061,53.41294,-4.51022,"A","DF",327.00028,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46062,53.41294,-4.51023,"A","DF",327.67013,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46063,53.41295,-4.51025,"A","DF",328.34353,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46064,53.41297,-4.51026,"A","DF",330.85209,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46065,53.41299,-4.51027,"A","DF",333.36174,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46066,53.41302,-4.51028,"A","DF",335.87248,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46067,53.41306,-4.51026,"A","DF",340.71028,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46068,53.41311,-4.51023,"A","DF",345.56098,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46069,53.41315,-4.5102,"A","DF",350.42409,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46070,53.41321,-4.51016,"A","DF",357.12871,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46071,53.41327,-4.51012,"A","DF",363.85524,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46072,53.41333,-4.51008,"A","DF",370.60252,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46073,53.41341,-4.51003,"A","DF",378.59975,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46074,53.41348,-4.50998,"A","DF",386.62721,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46075,53.41355,-4.50993,"A","DF",394.68305,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46076,53.41363,-4.50987,"A","DF",403.40513,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46077,53.41371,-4.5098,"A","DF",412.17205,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46078,53.41378,-4.50973,"A","DF",420.981,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46079,53.41385,-4.50964,"A","DF",428.67178,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46080,53.41392,-4.50956,"A","DF",436.43315,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46081,53.41398,-4.50947,"A","DF",444.26144,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46082,53.41405,-4.50939,"A","DF",452.08697,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46083,53.41412,-4.50931,"A","DF",459.95716,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46084,53.41418,-4.50923,"A","DF",467.86975,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46085,53.41424,-4.50917,"A","DF",475.12272,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46086,53.41431,-4.5091,"A","DF",482.40322,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46087,53.41437,-4.50903,"A","DF",489.71004,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46088,53.41443,-4.50897,"A","DF",497.60389,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46089,53.4145,-4.50891,"A","DF",505.51599,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46090,53.41457,-4.50885,"A","DF",513.44551,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46091,53.41463,-4.50879,"A","DF",520.78077,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46092,53.41469,-4.50873,"A","DF",528.13297,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46093,53.41475,-4.50867,"A","DF",535.50139,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46094,53.41481,-4.50861,"A","DF",542.88541,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46095,53.41487,-4.50854,"A","DF",550.28437,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46096,53.41493,-4.50848,"A","DF",557.69769,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46097,53.41499,-4.50843,"A","DF",564.98881,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46098,53.41506,-4.50838,"A","DF",572.28714,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46099,53.41512,-4.50833,"A","DF",579.59242,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46100,53.41518,-4.50829,"A","DF",586.76182,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46101,53.41524,-4.50826,"A","DF",593.93379,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46102,53.4153,-4.50822,"A","DF",601.10823,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46103,53.41536,-4.50818,"A","DF",608.21192,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46104,53.41542,-4.50815,"A","DF",615.31673,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46105,53.41548,-4.50812,"A","DF",622.42263,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46106,53.41554,-4.50808,"A","DF",628.92408,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46107,53.41559,-4.50805,"A","DF",635.42688,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46108,53.41565,-4.50802,"A","DF",641.931,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46109,53.41571,-4.50799,"A","DF",648.28462,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46110,53.41576,-4.50797,"A","DF",654.63828,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46111,53.41582,-4.50795,"A","DF",660.992,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46112,53.41587,-4.50794,"A","DF",667.19419,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46113,53.41593,-4.50793,"A","DF",673.39683,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46114,53.41598,-4.50792,"A","DF",679.5999,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46115,53.41605,-4.50791,"A","DF",687.01428,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46116,53.41612,-4.50789,"A","DF",694.42954,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46117,53.41618,-4.50788,"A","DF",701.84563,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46118,53.41626,-4.50787,"A","DF",709.86843,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46119,53.41633,-4.50786,"A","DF",717.89231,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46120,53.4164,-4.50785,"A","DF",725.91722,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46121,53.41648,-4.50783,"A","DF",735.22785,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46122,53.41657,-4.50782,"A","DF",744.5392,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46123,53.41665,-4.5078,"A","DF",753.85124,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46124,53.41673,-4.50778,"A","DF",763.23511,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46125,53.41682,-4.50776,"A","DF",772.61912,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46126,53.4169,-4.50773,"A","DF",782.00329,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46127,53.41699,-4.50772,"A","DF",791.92369,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46128,53.41708,-4.5077,"A","DF",801.84491,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46129,53.41717,-4.50768,"A","DF",811.76691,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46130,53.41726,-4.50766,"A","DF",821.75925,"Travelling","Direct flight","Traveling"
