"DATE","ID","TSECS_GMT","LATITUDE","LONGITUDE","SPECIES","Continuous","DIST2COL","Observed_2State","Observed_3State","Observed_StateTw"
"2009-06-09",2,33771,53.41219,-4.50942,"C","DF",246.13983,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33772,53.41222,-4.5094,"C","DF",249.4235,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33773,53.41224,-4.50938,"C","DF",252.10092,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33774,53.41226,-4.50936,"C","DF",254.78276,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33775,53.41228,-4.50933,"C","DF",257.4689,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33776,53.41231,-4.50931,"C","DF",260.15921,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33777,53.41233,-4.50929,"C","DF",262.85354,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33778,53.41235,-4.50927,"C","DF",265.55179,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33779,53.41237,-4.50924,"C","DF",268.25382,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33780,53.41239,-4.50922,"C","DF",270.95954,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33781,53.41242,-4.5092,"C","DF",273.66883,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33782,53.41243,-4.50917,"C","DF",275.84817,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33783,53.41245,-4.50914,"C","DF",278.03508,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33784,53.41247,-4.50912,"C","DF",280.22936,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33785,53.41249,-4.50909,"C","DF",282.95677,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33786,53.41251,-4.50907,"C","DF",285.68718,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33787,53.41253,-4.50905,"C","DF",288.42052,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33788,53.41255,-4.50903,"C","DF",290.55371,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33789,53.41257,-4.50901,"C","DF",292.69056,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33790,53.41258,-4.50898,"C","DF",294.83099,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33791,53.41261,-4.50895,"C","DF",298.34883,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33792,53.41264,-4.50892,"C","DF",301.8736,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33793,53.41267,-4.50888,"C","DF",305.40505,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33794,53.41271,-4.50884,"C","DF",310.23224,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33795,53.41274,-4.50881,"C","DF",315.06613,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33796,53.41278,-4.50877,"C","DF",319.90641,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33797,53.41283,-4.50872,"C","DF",325.44563,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33798,53.41287,-4.50868,"C","DF",330.99243,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33799,53.41292,-4.50863,"C","DF",336.54643,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33800,53.41298,-4.50858,"C","DF",343.99236,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33801,53.41304,-4.50853,"C","DF",351.44356,"Travelling","Direct flight","Traveling"
"2009-06-09",2,33802,53.4131,-4.50848,"C","DF",358.8997,"Travelling","Direct flight","Traveling"
