"COLONY","DATE_","ID","SPECIES","TSECS","LATITUDE","LONGITUDE","CONTBEH","observed_state","DISTKM","DIST_COL_K","STAGE","COMPLETE"
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56968,54.67915,-5.61965,"DF","Travelling",0,0.19168,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56969,54.67915,-5.61965,"DF","Travelling",0,0.19168,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56970,54.67915,-5.61965,"DF","Travelling",0,0.19168,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56971,54.67915,-5.61965,"DF","Travelling",0,0.19168,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56972,54.67915,-5.61965,"DF","Travelling",0,0.19168,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56973,54.67915,-5.61965,"DF","Travelling",0,0.19168,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56974,54.67915,-5.61965,"DF","Travelling",0,0.19168,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56975,54.67915,-5.61965,"DF","Travelling",0.00434,0.19168,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56976,54.67919,-5.61963,"DF","Travelling",0.00434,0.19122,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56977,54.67922,-5.6196,"DF","Travelling",0.00434,0.19086,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56978,54.67926,-5.61958,"DF","Travelling",0.00434,0.1906,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56979,54.6793,-5.61956,"DF","Travelling",0.00434,0.19043,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56980,54.67933,-5.61953,"DF","Travelling",0.00519,0.19037,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56981,54.67938,-5.6195,"DF","Travelling",0.00519,0.19028,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56982,54.67942,-5.61947,"DF","Travelling",0.00519,0.19032,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56983,54.67946,-5.61944,"DF","Travelling",0.00519,0.19052,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56984,54.67951,-5.61941,"DF","Travelling",0.00519,0.19085,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56985,54.67955,-5.61938,"DF","Travelling",0.00519,0.19132,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56986,54.67959,-5.61935,"DF","Travelling",0.00519,0.19193,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56987,54.67964,-5.61932,"DF","Travelling",0.00519,0.19269,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56988,54.67968,-5.61929,"DF","Travelling",0.00519,0.19357,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56989,54.67972,-5.61926,"DF","Travelling",0.00519,0.1946,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56990,54.67977,-5.61923,"DF","Travelling",0.00596,0.19575,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56991,54.67982,-5.6192,"DF","Travelling",0.00596,0.19731,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56992,54.67987,-5.61917,"DF","Travelling",0.00596,0.19904,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56993,54.67992,-5.61913,"DF","Travelling",0.00596,0.20093,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56994,54.67997,-5.6191,"DF","Travelling",0.00596,0.20298,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56995,54.68002,-5.61907,"DF","Travelling",0.00646,0.20518,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56996,54.68007,-5.61903,"DF","Travelling",0.00646,0.20749,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56997,54.68012,-5.61899,"DF","Travelling",0.00646,0.20998,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56998,54.68018,-5.61895,"DF","Travelling",0.00646,0.21263,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",56999,54.68023,-5.61891,"DF","Travelling",0.00646,0.21544,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57000,54.68028,-5.61887,"DF","Travelling",0.00536,0.21841,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57001,54.68033,-5.61883,"DF","Travelling",0.00536,0.22077,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57002,54.68037,-5.61879,"DF","Travelling",0.00536,0.22324,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57003,54.68041,-5.61876,"DF","Travelling",0.00536,0.2258,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57004,54.68046,-5.61872,"DF","Travelling",0.00536,0.22847,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57005,54.6805,-5.61868,"DF","Travelling",0.00442,0.23123,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57006,54.68054,-5.61866,"DF","Travelling",0.00442,0.23378,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57007,54.68057,-5.61863,"DF","Travelling",0.00442,0.23638,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57008,54.68061,-5.6186,"DF","Travelling",0.00442,0.23904,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57009,54.68065,-5.61858,"DF","Travelling",0.00442,0.24176,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57010,54.68068,-5.61855,"DF","Travelling",0.00418,0.24452,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57011,54.68072,-5.61852,"DF","Travelling",0.00418,0.2469,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57012,54.68075,-5.61849,"DF","Travelling",0.00418,0.24933,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57013,54.68078,-5.61846,"DF","Travelling",0.00418,0.25181,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57014,54.68082,-5.61843,"DF","Travelling",0.00418,0.25433,"Incubation",1
