"COLONY","DATE_","ID","SPECIES","TSECS","LATITUDE","LONGITUDE","CONTBEH","observed_state","DISTKM","DIST_COL_K","STAGE","COMPLETE"
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33046,54.68105,-5.6197,"DF","Travelling",0,0.31888,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33047,54.68105,-5.6197,"DF","Travelling",0,0.31888,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33048,54.68105,-5.6197,"DF","Travelling",0,0.31888,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33049,54.68105,-5.6197,"DF","Travelling",0,0.31888,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33050,54.68105,-5.6197,"DF","Travelling",0,0.31888,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33051,54.68105,-5.6197,"DF","Travelling",0,0.31888,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33052,54.68105,-5.6197,"DF","Travelling",0,0.31888,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33053,54.68105,-5.6197,"DF","Travelling",0.01033,0.31888,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33054,54.68108,-5.61955,"DF","Travelling",0.01033,0.31627,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33055,54.68112,-5.6194,"DF","Travelling",0.01033,0.31398,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33056,54.68115,-5.61925,"DF","Travelling",0.01033,0.31201,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33057,54.68118,-5.6191,"DF","Travelling",0.01033,0.31039,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33058,54.68122,-5.61895,"DF","Travelling",0.0141,0.3091,"Chick",0
