"COLONY","DATE","ID","SPECIES","TSECS","LATITUDE","LONGITUDE","CONTBEH","observed_state","DISTKM","DIST2COL","Complete"
"SOUTH SHIAN","2011-06-24",24,"C",42820,56.52218,-5.44244,"TS","Travelling",0.00034,2840.48339,0
"SOUTH SHIAN","2011-06-24",24,"C",42821,56.52218,-5.44243,"TS","Travelling",0.00034,2840.14601,0
"SOUTH SHIAN","2011-06-24",24,"C",42822,56.52218,-5.44243,"TS","Travelling",0.00034,2839.80862,0
"SOUTH SHIAN","2011-06-24",24,"C",42823,56.52218,-5.44242,"TS","Travelling",0.00034,2839.47122,0
"SOUTH SHIAN","2011-06-24",24,"C",42824,56.52218,-5.44242,"TS","Travelling",0.00034,2839.13383,0
"SOUTH SHIAN","2011-06-24",24,"C",42825,56.52218,-5.44241,"TS","Travelling",0.00034,2838.79645,0
"SOUTH SHIAN","2011-06-24",24,"C",42826,56.52218,-5.44241,"TS","Travelling",0.00034,2838.45906,0
"SOUTH SHIAN","2011-06-24",24,"C",42827,56.52218,-5.4424,"TS","Travelling",0.00068,2838.12167,0
"SOUTH SHIAN","2011-06-24",24,"C",42828,56.52218,-5.44239,"TS","Travelling",0.00068,2837.44691,0
"SOUTH SHIAN","2011-06-24",24,"C",42829,56.52218,-5.44238,"TS","Travelling",0.00068,2836.77214,0
"SOUTH SHIAN","2011-06-24",24,"C",42830,56.52218,-5.44237,"TS","Travelling",0.00092,2836.09739,0
"SOUTH SHIAN","2011-06-24",24,"C",42831,56.52218,-5.44236,"TS","Travelling",0.00092,2835.52361,0
"SOUTH SHIAN","2011-06-24",24,"C",42832,56.52217,-5.44234,"TS","Travelling",0.00092,2834.95003,0
"SOUTH SHIAN","2011-06-24",24,"C",42833,56.52217,-5.44233,"TS","Travelling",0.00212,2834.37663,0
"SOUTH SHIAN","2011-06-24",24,"C",42834,56.52215,-5.44232,"TS","Travelling",0.00212,2833.66942,0
"SOUTH SHIAN","2011-06-24",24,"C",42835,56.52213,-5.4423,"TS","Travelling",0.00212,2832.96361,0
"SOUTH SHIAN","2011-06-24",24,"C",42836,56.52212,-5.44228,"TS","Travelling",0.00311,2832.25921,0
"SOUTH SHIAN","2011-06-24",24,"C",42837,56.52209,-5.44229,"TS","Travelling",0.00311,2833.11128,0
"SOUTH SHIAN","2011-06-24",24,"C",42838,56.52206,-5.44229,"TS","Travelling",0.00311,2833.96652,0
"SOUTH SHIAN","2011-06-24",24,"C",42839,56.52203,-5.4423,"TS","Travelling",0.0039,2834.82491,0
"SOUTH SHIAN","2011-06-24",24,"C",42840,56.52201,-5.44234,"TS","Travelling",0.0039,2837.70833,0
"SOUTH SHIAN","2011-06-24",24,"C",42841,56.52198,-5.44238,"TS","Travelling",0.0039,2840.59421,0
"SOUTH SHIAN","2011-06-24",24,"C",42842,56.52195,-5.44242,"TS","Travelling",0.00449,2843.48255,0
"SOUTH SHIAN","2011-06-24",24,"C",42843,56.52193,-5.44248,"TS","Travelling",0.00449,2847.61389,0
"SOUTH SHIAN","2011-06-24",24,"C",42844,56.52191,-5.44254,"TS","Travelling",0.00449,2851.74635,0
"SOUTH SHIAN","2011-06-24",24,"C",42845,56.52188,-5.4426,"TS","Travelling",0.00544,2855.87994,0
"SOUTH SHIAN","2011-06-24",24,"C",42846,56.52187,-5.44268,"TS","Travelling",0.00544,2861.25387,0
"SOUTH SHIAN","2011-06-24",24,"C",42847,56.52185,-5.44277,"TS","Travelling",0.00544,2866.62809,0
"SOUTH SHIAN","2011-06-24",24,"C",42848,56.52183,-5.44285,"TS","Travelling",0.00656,2872.00263,0
"SOUTH SHIAN","2011-06-24",24,"C",42849,56.52181,-5.44294,"TS","Travelling",0.00656,2878.26752,0
"SOUTH SHIAN","2011-06-24",24,"C",42850,56.52178,-5.44304,"TS","Travelling",0.00656,2884.53385,0
"SOUTH SHIAN","2011-06-24",24,"C",42851,56.52175,-5.44313,"TS","Travelling",0.00725,2890.8016,0
"SOUTH SHIAN","2011-06-24",24,"C",42852,56.52173,-5.44324,"TS","Travelling",0.00725,2897.97074,0
"SOUTH SHIAN","2011-06-24",24,"C",42853,56.52171,-5.44336,"TS","Travelling",0.00725,2905.14041,0
"SOUTH SHIAN","2011-06-24",24,"C",42854,56.52168,-5.44347,"TS","Travelling",0.00838,2912.31059,0
"SOUTH SHIAN","2011-06-24",24,"C",42855,56.52167,-5.4436,"TS","Travelling",0.00838,2920.71698,0
"SOUTH SHIAN","2011-06-24",24,"C",42856,56.52165,-5.44373,"TS","Travelling",0.00838,2929.12341,0
"SOUTH SHIAN","2011-06-24",24,"C",42857,56.52163,-5.44387,"TS","Travelling",0.00894,2937.52989,0
"SOUTH SHIAN","2011-06-24",24,"C",42858,56.52162,-5.44401,"TS","Travelling",0.00894,2946.49907,0
"SOUTH SHIAN","2011-06-24",24,"C",42859,56.52161,-5.44416,"TS","Travelling",0.00894,2955.46829,0
"SOUTH SHIAN","2011-06-24",24,"C",42860,56.5216,-5.4443,"TS","Travelling",0.00938,2964.43755,0
"SOUTH SHIAN","2011-06-24",24,"C",42861,56.52158,-5.44445,"TS","Travelling",0.00938,2973.85346,0
"SOUTH SHIAN","2011-06-24",24,"C",42862,56.52157,-5.4446,"TS","Travelling",0.00938,2983.26938,0
"SOUTH SHIAN","2011-06-24",24,"C",42863,56.52155,-5.44475,"TS","Travelling",0.00962,2992.68531,0
"SOUTH SHIAN","2011-06-24",24,"C",42864,56.52154,-5.44491,"TS","Travelling",0.00962,3002.32758,0
"SOUTH SHIAN","2011-06-24",24,"C",42865,56.52153,-5.44506,"TS","Travelling",0.00962,3011.96991,0
"SOUTH SHIAN","2011-06-24",24,"C",42866,56.52152,-5.44522,"TS","Travelling",0.0097,3021.61234,0
"SOUTH SHIAN","2011-06-24",24,"C",42867,56.52149,-5.44537,"TS","Travelling",0.0097,3031.24838,0
"SOUTH SHIAN","2011-06-24",24,"C",42868,56.52146,-5.44552,"TS","Travelling",0.0097,3040.88509,0
"SOUTH SHIAN","2011-06-24",24,"C",42869,56.52143,-5.44567,"TS","Travelling",0.0096,3050.52243,0
"SOUTH SHIAN","2011-06-24",24,"C",42870,56.5214,-5.44581,"TS","Travelling",0.0096,3059.93515,0
"SOUTH SHIAN","2011-06-24",24,"C",42871,56.52137,-5.44596,"TS","Travelling",0.0096,3069.34924,0
"SOUTH SHIAN","2011-06-24",24,"C",42872,56.52133,-5.4461,"TS","Travelling",0.01017,3078.76472,0
"SOUTH SHIAN","2011-06-24",24,"C",42873,56.52128,-5.44624,"TS","Travelling",0.01017,3088.18306,0
"SOUTH SHIAN","2011-06-24",24,"C",42874,56.52123,-5.44638,"TS","Travelling",0.01017,3097.6064,0
"SOUTH SHIAN","2011-06-24",24,"C",42875,56.52118,-5.44652,"TS","Travelling",0.00985,3107.03467,0
"SOUTH SHIAN","2011-06-24",24,"C",42876,56.52114,-5.44666,"TS","Travelling",0.00985,3116.35282,0
"SOUTH SHIAN","2011-06-24",24,"C",42877,56.52109,-5.44679,"TS","Travelling",0.00985,3125.67444,0
