"DATE_","ID","TSECS","SPECIES","LATITUDE","LONGITUDE","CONTBEH","DIST2COL","Observed_2State","Observed_3State","Observed_StateTw"
"2010-06-23",12,27339,"Common tern",55.33136,-1.53695,"TS",369.01639,"Travelling","Transit search","Foraging"
"2010-06-23",12,27340,"Common tern",55.33134,-1.53701,"TS",371.2457,"Travelling","Transit search","Foraging"
"2010-06-23",12,27341,"Common tern",55.33132,-1.53707,"TS",373.50958,"Travelling","Transit search","Foraging"
"2010-06-23",12,27342,"Common tern",55.33125,-1.53709,"TS",380.95657,"Travelling","Transit search","Foraging"
"2010-06-23",12,27343,"Common tern",55.33118,-1.53712,"TS",388.40984,"Travelling","Transit search","Foraging"
"2010-06-23",12,27344,"Common tern",55.33112,-1.53715,"TS",395.86903,"Travelling","Transit search","Foraging"
"2010-06-23",12,27345,"Common tern",55.33105,-1.53717,"TS",403.33381,"Travelling","Transit search","Foraging"
"2010-06-23",12,27346,"Common tern",55.33098,-1.5372,"TS",410.80387,"Travelling","Transit search","Foraging"
"2010-06-23",12,27347,"Common tern",55.33091,-1.53712,"TS",419.18835,"Travelling","Transit search","Foraging"
"2010-06-23",12,27348,"Common tern",55.33083,-1.53704,"TS",427.63886,"Travelling","Transit search","Foraging"
"2010-06-23",12,27349,"Common tern",55.33075,-1.53696,"TS",436.15156,"Travelling","Transit search","Foraging"
"2010-06-23",12,27350,"Common tern",55.33068,-1.53688,"TS",444.72287,"Travelling","Transit search","Foraging"
"2010-06-23",12,27351,"Common tern",55.3306,-1.5368,"TS",453.34947,"Travelling","Transit search","Foraging"
"2010-06-23",12,27352,"Common tern",55.33054,-1.53665,"TS",459.99156,"Travelling","Transit search","Foraging"
"2010-06-23",12,27353,"Common tern",55.33049,-1.53649,"TS",466.82701,"Travelling","Transit search","Foraging"
"2010-06-23",12,27354,"Common tern",55.33043,-1.53634,"TS",473.84744,"Travelling","Transit search","Foraging"
"2010-06-23",12,27355,"Common tern",55.33037,-1.53619,"TS",481.04477,"Travelling","Transit search","Foraging"
"2010-06-23",12,27356,"Common tern",55.33032,-1.53603,"TS",488.41117,"Travelling","Transit search","Foraging"
"2010-06-23",12,27357,"Common tern",55.33025,-1.53588,"TS",497.01142,"Travelling","Transit search","Foraging"
"2010-06-23",12,27358,"Common tern",55.33018,-1.53573,"TS",505.75326,"Travelling","Transit search","Foraging"
"2010-06-23",12,27359,"Common tern",55.33012,-1.53558,"TS",514.62949,"Travelling","Transit search","Foraging"
"2010-06-23",12,27360,"Common tern",55.33005,-1.53543,"TS",523.63327,"Travelling","Transit search","Foraging"
"2010-06-23",12,27361,"Common tern",55.32998,-1.53528,"TS",532.75814,"Travelling","Transit search","Foraging"
"2010-06-23",12,27362,"Common tern",55.32988,-1.5352,"TS",545.13719,"Travelling","Transit search","Foraging"
"2010-06-23",12,27363,"Common tern",55.32978,-1.53511,"TS",557.53274,"Travelling","Transit search","Foraging"
"2010-06-23",12,27364,"Common tern",55.32967,-1.53502,"TS",569.94372,"Travelling","Transit search","Foraging"
"2010-06-23",12,27365,"Common tern",55.32957,-1.53494,"TS",582.36914,"Travelling","Transit search","Foraging"
"2010-06-23",12,27366,"Common tern",55.32947,-1.53485,"TS",594.8081,"Travelling","Transit search","Foraging"
"2010-06-23",12,27367,"Common tern",55.32936,-1.5348,"TS",607.40095,"Travelling","Transit search","Foraging"
"2010-06-23",12,27368,"Common tern",55.32925,-1.53476,"TS",619.99383,"Travelling","Transit search","Foraging"
"2010-06-23",12,27369,"Common tern",55.32914,-1.53471,"TS",632.58672,"Travelling","Transit search","Foraging"
"2010-06-23",12,27370,"Common tern",55.32903,-1.53466,"TS",645.17962,"Travelling","Transit search","Foraging"
"2010-06-23",12,27371,"Common tern",55.32892,-1.53462,"TS",657.77255,"Travelling","Transit search","Foraging"
"2010-06-23",12,27372,"Common tern",55.3288,-1.53457,"TS",670.72669,"Travelling","Transit search","Foraging"
"2010-06-23",12,27373,"Common tern",55.32869,-1.53452,"TS",683.68081,"Travelling","Transit search","Foraging"
"2010-06-23",12,27374,"Common tern",55.32858,-1.53448,"TS",696.63496,"Travelling","Transit search","Foraging"
"2010-06-23",12,27375,"Common tern",55.32846,-1.53443,"TS",709.5891,"Travelling","Transit search","Foraging"
"2010-06-23",12,27376,"Common tern",55.32835,-1.53438,"TS",722.54324,"Travelling","Transit search","Foraging"
"2010-06-23",12,27377,"Common tern",55.32823,-1.53432,"TS",736.05143,"Travelling","Transit search","Foraging"
"2010-06-23",12,27378,"Common tern",55.32812,-1.53426,"TS",749.56037,"Travelling","Transit search","Foraging"
"2010-06-23",12,27379,"Common tern",55.328,-1.5342,"TS",763.07002,"Travelling","Transit search","Foraging"
"2010-06-23",12,27380,"Common tern",55.32788,-1.53414,"TS",776.58032,"Travelling","Transit search","Foraging"
"2010-06-23",12,27381,"Common tern",55.32777,-1.53408,"TS",790.09127,"Travelling","Transit search","Foraging"
"2010-06-23",12,27382,"Common tern",55.32766,-1.53401,"TS",803.07911,"Travelling","Transit search","Foraging"
"2010-06-23",12,27383,"Common tern",55.32755,-1.53394,"TS",816.07037,"Travelling","Transit search","Foraging"
"2010-06-23",12,27384,"Common tern",55.32744,-1.53386,"TS",829.06489,"Travelling","Transit search","Foraging"
"2010-06-23",12,27385,"Common tern",55.32733,-1.53379,"TS",842.06251,"Travelling","Transit search","Foraging"
"2010-06-23",12,27386,"Common tern",55.32722,-1.53372,"TS",855.0631,"Travelling","Transit search","Foraging"
"2010-06-23",12,27387,"Common tern",55.3271,-1.53363,"TS",868.5809,"Travelling","Transit search","Foraging"
"2010-06-23",12,27388,"Common tern",55.32699,-1.53355,"TS",882.10354,"Travelling","Transit search","Foraging"
"2010-06-23",12,27389,"Common tern",55.32688,-1.53347,"TS",895.63079,"Travelling","Transit search","Foraging"
"2010-06-23",12,27390,"Common tern",55.32676,-1.53338,"TS",909.16246,"Travelling","Transit search","Foraging"
"2010-06-23",12,27391,"Common tern",55.32665,-1.5333,"TS",922.69833,"Travelling","Transit search","Foraging"
"2010-06-23",12,27392,"Common tern",55.32654,-1.53319,"TS",935.89924,"Travelling","Transit search","Foraging"
"2010-06-23",12,27393,"Common tern",55.32644,-1.53309,"TS",949.11323,"Travelling","Transit search","Foraging"
"2010-06-23",12,27394,"Common tern",55.32633,-1.53298,"TS",962.33977,"Travelling","Transit search","Foraging"
"2010-06-23",12,27395,"Common tern",55.32622,-1.53287,"TS",975.57833,"Travelling","Transit search","Foraging"
"2010-06-23",12,27396,"Common tern",55.32612,-1.53277,"TS",988.82844,"Travelling","Transit search","Foraging"
"2010-06-23",12,27397,"Common tern",55.32601,-1.53263,"TS",1002.19645,"Travelling","Transit search","Foraging"
"2010-06-23",12,27398,"Common tern",55.32591,-1.5325,"TS",1015.58915,"Travelling","Transit search","Foraging"
"2010-06-23",12,27399,"Common tern",55.32581,-1.53237,"TS",1029.00556,"Travelling","Transit search","Foraging"
"2010-06-23",12,27400,"Common tern",55.3257,-1.53223,"TS",1042.44478,"Travelling","Transit search","Foraging"
"2010-06-23",12,27401,"Common tern",55.3256,-1.5321,"TS",1055.90593,"Travelling","Transit search","Foraging"
"2010-06-23",12,27402,"Common tern",55.32551,-1.53193,"TS",1068.31203,"Travelling","Transit search","Foraging"
"2010-06-23",12,27403,"Common tern",55.32543,-1.53176,"TS",1080.7694,"Travelling","Transit search","Foraging"
"2010-06-23",12,27404,"Common tern",55.32534,-1.53159,"TS",1093.2763,"Travelling","Transit search","Foraging"
"2010-06-23",12,27405,"Common tern",55.32525,-1.53142,"TS",1105.83103,"Travelling","Transit search","Foraging"
"2010-06-23",12,27406,"Common tern",55.32517,-1.53125,"TS",1118.43198,"Travelling","Transit search","Foraging"
"2010-06-23",12,27407,"Common tern",55.32509,-1.53105,"TS",1130.58849,"Travelling","Transit search","Foraging"
"2010-06-23",12,27408,"Common tern",55.32501,-1.53086,"TS",1142.81558,"Travelling","Transit search","Foraging"
"2010-06-23",12,27409,"Common tern",55.32494,-1.53066,"TS",1155.11103,"Travelling","Transit search","Foraging"
