"DATE_","ID","TSECS","SPECIES","LATITUDE","LONGITUDE","CONTBEH","DIST2COL","Observed_2State","Observed_3State","Observed_StateTw"
"2010-06-21",10,48186,"Roseate tern",55.33078,-1.53377,"DF",478.2843,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48187,"Roseate tern",55.33071,-1.53367,"DF",488.03868,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48188,"Roseate tern",55.33064,-1.53357,"DF",497.80465,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48189,"Roseate tern",55.33057,-1.53347,"DF",507.58153,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48190,"Roseate tern",55.3305,-1.53337,"DF",517.36872,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48191,"Roseate tern",55.33043,-1.53327,"DF",527.16563,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48192,"Roseate tern",55.33036,-1.53315,"DF",537.35281,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48193,"Roseate tern",55.33029,-1.53304,"DF",547.55567,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48194,"Roseate tern",55.33022,-1.53293,"DF",557.77334,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48195,"Roseate tern",55.33015,-1.53281,"DF",568.00503,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48196,"Roseate tern",55.33008,-1.5327,"DF",578.25,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48197,"Roseate tern",55.33004,-1.53257,"DF",586.1727,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48198,"Roseate tern",55.33,-1.53243,"DF",594.14352,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48199,"Roseate tern",55.32996,-1.5323,"DF",602.16053,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48200,"Roseate tern",55.32992,-1.53217,"DF",610.22191,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48201,"Roseate tern",55.32988,-1.53203,"DF",618.32593,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48202,"Roseate tern",55.32981,-1.53195,"DF",627.82784,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48203,"Roseate tern",55.32974,-1.53186,"DF",637.33071,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48204,"Roseate tern",55.32967,-1.53177,"DF",646.83451,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48205,"Roseate tern",55.3296,-1.53169,"DF",656.33919,"Travelling","Direct flight","Traveling"
