"DATE_","ID","TSECS","SPECIES","LATITUDE","LONGITUDE","CONTBEH","DIST2COL","Observed_2State","Observed_3State","Observed_StateTw"
"2010-06-21",8,35051,"Sandwich tern",55.34147,-1.53872,"TS",764.01473,"Travelling","Transit search","Foraging"
"2010-06-21",8,35052,"Sandwich tern",55.34152,-1.53877,"TS",770.71576,"Travelling","Transit search","Foraging"
"2010-06-21",8,35053,"Sandwich tern",55.34158,-1.53882,"TS",777.42312,"Travelling","Transit search","Foraging"
"2010-06-21",8,35054,"Sandwich tern",55.34164,-1.53887,"TS",784.13663,"Travelling","Transit search","Foraging"
"2010-06-21",8,35055,"Sandwich tern",55.34169,-1.53892,"TS",790.85614,"Travelling","Transit search","Foraging"
"2010-06-21",8,35056,"Sandwich tern",55.34175,-1.53897,"TS",797.5815,"Travelling","Transit search","Foraging"
"2010-06-21",8,35057,"Sandwich tern",55.34184,-1.53897,"TS",807.53783,"Travelling","Transit search","Foraging"
"2010-06-21",8,35058,"Sandwich tern",55.34193,-1.53898,"TS",817.4958,"Travelling","Transit search","Foraging"
"2010-06-21",8,35059,"Sandwich tern",55.34202,-1.53899,"TS",827.45535,"Travelling","Transit search","Foraging"
"2010-06-21",8,35060,"Sandwich tern",55.34211,-1.53899,"TS",837.41644,"Travelling","Transit search","Foraging"
"2010-06-21",8,35061,"Sandwich tern",55.3422,-1.539,"TS",847.37901,"Travelling","Transit search","Foraging"
"2010-06-21",8,35062,"Sandwich tern",55.3423,-1.53894,"TS",857.81882,"Travelling","Transit search","Foraging"
"2010-06-21",8,35063,"Sandwich tern",55.3424,-1.53888,"TS",868.29239,"Travelling","Transit search","Foraging"
"2010-06-21",8,35064,"Sandwich tern",55.3425,-1.53882,"TS",878.79852,"Travelling","Transit search","Foraging"
"2010-06-21",8,35065,"Sandwich tern",55.3426,-1.53876,"TS",889.33606,"Travelling","Transit search","Foraging"
"2010-06-21",8,35066,"Sandwich tern",55.3427,-1.5387,"TS",899.90389,"Travelling","Transit search","Foraging"
"2010-06-21",8,35067,"Sandwich tern",55.34279,-1.53864,"TS",909.02732,"Travelling","Transit search","Foraging"
"2010-06-21",8,35068,"Sandwich tern",55.34287,-1.53858,"TS",918.17715,"Travelling","Transit search","Foraging"
"2010-06-21",8,35069,"Sandwich tern",55.34296,-1.53852,"TS",927.35261,"Travelling","Transit search","Foraging"
"2010-06-21",8,35070,"Sandwich tern",55.34305,-1.53846,"TS",936.55296,"Travelling","Transit search","Foraging"
"2010-06-21",8,35071,"Sandwich tern",55.34313,-1.5384,"TS",945.77746,"Travelling","Transit search","Foraging"
"2010-06-21",8,35072,"Sandwich tern",55.34322,-1.53834,"TS",955.41398,"Travelling","Transit search","Foraging"
"2010-06-21",8,35073,"Sandwich tern",55.34331,-1.53829,"TS",965.07159,"Travelling","Transit search","Foraging"
"2010-06-21",8,35074,"Sandwich tern",55.3434,-1.53823,"TS",974.74967,"Travelling","Transit search","Foraging"
"2010-06-21",8,35075,"Sandwich tern",55.34349,-1.53817,"TS",984.4476,"Travelling","Transit search","Foraging"
"2010-06-21",8,35076,"Sandwich tern",55.34358,-1.53812,"TS",994.16481,"Travelling","Transit search","Foraging"
"2010-06-21",8,35077,"Sandwich tern",55.34368,-1.53807,"TS",1005.0545,"Travelling","Transit search","Foraging"
"2010-06-21",8,35078,"Sandwich tern",55.34378,-1.53802,"TS",1015.95797,"Travelling","Transit search","Foraging"
"2010-06-21",8,35079,"Sandwich tern",55.34388,-1.53798,"TS",1026.87479,"Travelling","Transit search","Foraging"
"2010-06-21",8,35080,"Sandwich tern",55.34398,-1.53793,"TS",1037.80452,"Travelling","Transit search","Foraging"
"2010-06-21",8,35081,"Sandwich tern",55.34408,-1.53788,"TS",1048.74677,"Travelling","Transit search","Foraging"
"2010-06-21",8,35082,"Sandwich tern",55.34418,-1.53783,"TS",1059.67944,"Travelling","Transit search","Foraging"
"2010-06-21",8,35083,"Sandwich tern",55.34428,-1.53778,"TS",1070.62682,"Travelling","Transit search","Foraging"
"2010-06-21",8,35084,"Sandwich tern",55.34438,-1.53772,"TS",1081.58846,"Travelling","Transit search","Foraging"
"2010-06-21",8,35085,"Sandwich tern",55.34448,-1.53767,"TS",1092.56392,"Travelling","Transit search","Foraging"
"2010-06-21",8,35086,"Sandwich tern",55.34458,-1.53762,"TS",1103.5528,"Travelling","Transit search","Foraging"
"2010-06-21",8,35087,"Sandwich tern",55.34467,-1.53755,"TS",1113.4215,"Travelling","Transit search","Foraging"
"2010-06-21",8,35088,"Sandwich tern",55.34476,-1.53749,"TS",1123.30715,"Travelling","Transit search","Foraging"
"2010-06-21",8,35089,"Sandwich tern",55.34485,-1.53743,"TS",1133.20932,"Travelling","Transit search","Foraging"
"2010-06-21",8,35090,"Sandwich tern",55.34494,-1.53736,"TS",1143.12757,"Travelling","Transit search","Foraging"
"2010-06-21",8,35091,"Sandwich tern",55.34503,-1.5373,"TS",1153.06147,"Travelling","Transit search","Foraging"
"2010-06-21",8,35092,"Sandwich tern",55.34512,-1.53723,"TS",1162.63675,"Travelling","Transit search","Foraging"
"2010-06-21",8,35093,"Sandwich tern",55.34521,-1.53717,"TS",1172.22842,"Travelling","Transit search","Foraging"
"2010-06-21",8,35094,"Sandwich tern",55.34529,-1.5371,"TS",1181.83607,"Travelling","Transit search","Foraging"
"2010-06-21",8,35095,"Sandwich tern",55.34538,-1.53703,"TS",1191.4593,"Travelling","Transit search","Foraging"
"2010-06-21",8,35096,"Sandwich tern",55.34547,-1.53697,"TS",1201.09776,"Travelling","Transit search","Foraging"
"2010-06-21",8,35097,"Sandwich tern",55.34556,-1.5369,"TS",1211.12198,"Travelling","Transit search","Foraging"
"2010-06-21",8,35098,"Sandwich tern",55.34565,-1.53683,"TS",1221.16069,"Travelling","Transit search","Foraging"
"2010-06-21",8,35099,"Sandwich tern",55.34574,-1.53677,"TS",1231.21353,"Travelling","Transit search","Foraging"
"2010-06-21",8,35100,"Sandwich tern",55.34583,-1.5367,"TS",1241.28016,"Travelling","Transit search","Foraging"
"2010-06-21",8,35101,"Sandwich tern",55.34592,-1.53663,"TS",1251.36025,"Travelling","Transit search","Foraging"
"2010-06-21",8,35102,"Sandwich tern",55.34601,-1.53658,"TS",1261.80722,"Travelling","Transit search","Foraging"
"2010-06-21",8,35103,"Sandwich tern",55.3461,-1.53653,"TS",1272.26218,"Travelling","Transit search","Foraging"
"2010-06-21",8,35104,"Sandwich tern",55.3462,-1.53647,"TS",1282.72493,"Travelling","Transit search","Foraging"
"2010-06-21",8,35105,"Sandwich tern",55.34629,-1.53642,"TS",1293.1953,"Travelling","Transit search","Foraging"
"2010-06-21",8,35106,"Sandwich tern",55.34638,-1.53637,"TS",1303.67308,"Travelling","Transit search","Foraging"
"2010-06-21",8,35107,"Sandwich tern",55.34645,-1.53634,"TS",1311.1457,"Travelling","Transit search","Foraging"
"2010-06-21",8,35108,"Sandwich tern",55.34652,-1.53631,"TS",1318.62045,"Travelling","Transit search","Foraging"
"2010-06-21",8,35109,"Sandwich tern",55.34658,-1.53628,"AS",1326.0973,"Foraging","Foraging","Foraging"
"2010-06-21",8,35110,"Sandwich tern",55.34665,-1.53625,"AS",1333.5762,"Foraging","Foraging","Foraging"
"2010-06-21",8,35111,"Sandwich tern",55.34672,-1.53622,"AS",1341.05714,"Foraging","Foraging","Foraging"
"2010-06-21",8,35112,"Sandwich tern",55.34678,-1.53615,"AS",1347.87885,"Foraging","Foraging","Foraging"
"2010-06-21",8,35113,"Sandwich tern",55.34684,-1.53609,"AS",1354.71104,"Foraging","Foraging","Foraging"
"2010-06-21",8,35114,"Sandwich tern",55.3469,-1.53603,"AS",1361.55352,"Foraging","Foraging","Foraging"
"2010-06-21",8,35115,"Sandwich tern",55.34696,-1.53596,"AS",1368.40616,"Foraging","Foraging","Foraging"
"2010-06-21",8,35116,"Sandwich tern",55.34702,-1.5359,"AS",1375.26879,"Foraging","Foraging","Foraging"
"2010-06-21",8,35117,"Sandwich tern",55.34707,-1.5358,"AS",1381.89435,"Foraging","Foraging","Foraging"
"2010-06-21",8,35118,"Sandwich tern",55.34713,-1.5357,"AS",1388.5459,"Foraging","Foraging","Foraging"
"2010-06-21",8,35119,"Sandwich tern",55.34719,-1.5356,"AS",1395.22306,"Foraging","Foraging","Foraging"
"2010-06-21",8,35120,"Sandwich tern",55.34724,-1.5355,"AS",1401.92547,"Foraging","Foraging","Foraging"
"2010-06-21",8,35121,"Sandwich tern",55.3473,-1.5354,"AS",1408.65277,"Foraging","Foraging","Foraging"
"2010-06-21",8,35122,"Sandwich tern",55.34736,-1.53529,"TS",1416.19208,"Travelling","Transit search","Foraging"
"2010-06-21",8,35123,"Sandwich tern",55.34743,-1.53518,"TS",1423.76053,"Travelling","Transit search","Foraging"
"2010-06-21",8,35124,"Sandwich tern",55.34749,-1.53507,"TS",1431.35767,"Travelling","Transit search","Foraging"
