"COLONY","DATE","ID","SPECIES","TSECS","LATITUDE","LONGITUDE","CONTBEH","observed_state","DISTKM","DIST2COL","Complete"
"Glas Eileanan","2011-06-20",2,"C",39615,56.49519,-5.71205,"TS","Travelling",0.00697,153.7163,1
"Glas Eileanan","2011-06-20",2,"C",39616,56.49519,-5.71194,"TS","Travelling",0.00697,160.1886,1
"Glas Eileanan","2011-06-20",2,"C",39617,56.49519,-5.71183,"TS","Travelling",0.00697,166.70282,1
"Glas Eileanan","2011-06-20",2,"C",39618,56.4952,-5.71171,"TS","Travelling",0.00697,173.25423,1
"Glas Eileanan","2011-06-20",2,"C",39619,56.4952,-5.7116,"TS","Travelling",0.00942,179.83878,1
"Glas Eileanan","2011-06-20",2,"C",39620,56.4952,-5.71145,"TS","Travelling",0.00942,189.02581,1
"Glas Eileanan","2011-06-20",2,"C",39621,56.49519,-5.71129,"TS","Travelling",0.00942,198.23785,1
"Glas Eileanan","2011-06-20",2,"C",39622,56.49519,-5.71114,"TS","Travelling",0.00942,207.47154,1
"Glas Eileanan","2011-06-20",2,"C",39623,56.49519,-5.71099,"TS","Travelling",0.00942,216.72414,1
"Glas Eileanan","2011-06-20",2,"C",39624,56.49518,-5.71083,"TS","Travelling",0.01026,225.9933,1
"Glas Eileanan","2011-06-20",2,"C",39625,56.49518,-5.71067,"TS","Travelling",0.01026,236.16061,1
"Glas Eileanan","2011-06-20",2,"C",39626,56.49517,-5.7105,"TS","Travelling",0.01026,246.3384,1
"Glas Eileanan","2011-06-20",2,"C",39627,56.49516,-5.71033,"TS","Travelling",0.01026,256.52546,1
"Glas Eileanan","2011-06-20",2,"C",39628,56.49516,-5.71017,"TS","Travelling",0.01026,266.7207,1
"Glas Eileanan","2011-06-20",2,"C",39629,56.49515,-5.71,"TS","Travelling",0.01027,276.92323,1
"Glas Eileanan","2011-06-20",2,"C",39630,56.49513,-5.70984,"TS","Travelling",0.01027,287.2273,1
"Glas Eileanan","2011-06-20",2,"C",39631,56.49511,-5.70967,"TS","Travelling",0.01027,297.53147,1
"Glas Eileanan","2011-06-20",2,"C",39632,56.49509,-5.70951,"TS","Travelling",0.01027,307.8357,1
"Glas Eileanan","2011-06-20",2,"C",39633,56.49507,-5.70935,"TS","Travelling",0.01027,318.14001,1
"Glas Eileanan","2011-06-20",2,"C",39634,56.49505,-5.70918,"TS","Travelling",0.01059,328.44437,1
"Glas Eileanan","2011-06-20",2,"C",39635,56.49501,-5.70903,"TS","Travelling",0.01059,338.80919,1
"Glas Eileanan","2011-06-20",2,"C",39636,56.49497,-5.70887,"TS","Travelling",0.01059,349.18995,1
"Glas Eileanan","2011-06-20",2,"C",39637,56.49493,-5.70871,"TS","Travelling",0.01059,359.58524,1
"Glas Eileanan","2011-06-20",2,"C",39638,56.49489,-5.70856,"TS","Travelling",0.01059,369.99386,1
"Glas Eileanan","2011-06-20",2,"C",39639,56.49485,-5.7084,"TS","Travelling",0.01075,380.4147,1
"Glas Eileanan","2011-06-20",2,"C",39640,56.49481,-5.70824,"TS","Travelling",0.01075,390.93594,1
"Glas Eileanan","2011-06-20",2,"C",39641,56.49476,-5.70809,"TS","Travelling",0.01075,401.47148,1
"Glas Eileanan","2011-06-20",2,"C",39642,56.49472,-5.70793,"TS","Travelling",0.01075,412.02023,1
"Glas Eileanan","2011-06-20",2,"C",39643,56.49468,-5.70777,"TS","Travelling",0.01075,422.58119,1
"Glas Eileanan","2011-06-20",2,"C",39644,56.49463,-5.70762,"TS","Travelling",0.01097,433.15347,1
"Glas Eileanan","2011-06-20",2,"C",39645,56.49459,-5.70745,"TS","Travelling",0.01097,444.03349,1
